#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       2.109348366721e+02       6.308864456776e-04      -2.354888567632e+00       4.087851611619e-03       1.486122158094e-03       3.609244480180e-03       7.397496606555e-06       7.218739134768e-04      -1.766524564490e+00       4.098398245990e-03       5.549306054899e-01       5.860632481784e-01      -2.253582276300e+00       2.692428659180e-03       1.063510313282e-01      -1.851430538605e+00       5.498800273390e-03 
       2.114592071123e+02       6.328928649605e-04      -2.358914988500e+00       4.091259702879e-03       1.497303618238e-03       3.630979321887e-03       7.486434778976e-06       7.262216103502e-04      -1.769549947080e+00       4.101946281951e-03       5.547573460270e-01       5.857714574410e-01      -2.256629767252e+00       2.686376704250e-03       1.066103685132e-01      -1.855192365020e+00       5.510416017792e-03 
       2.119873544508e+02       6.349159321257e-04      -2.362972061576e+00       4.094661395520e-03       1.508711626531e-03       3.653888566691e-03       7.580786107379e-06       7.308041095367e-04      -1.772598433661e+00       4.105491029075e-03       5.545827297132e-01       5.854777517019e-01      -2.259694162388e+00       2.680217950694e-03       1.068700421379e-01      -1.858986881221e+00       5.522105967031e-03 
       2.125193500717e+02       6.369559683438e-04      -2.367060326819e+00       4.098056541560e-03       1.520349738785e-03       3.677864459357e-03       7.679980939260e-06       7.355999011981e-04      -1.775670432656e+00       4.109032123081e-03       5.544067370799e-01       5.851821008650e-01      -2.262775698889e+00       2.673950259223e-03       1.071300438913e-01      -1.862814699937e+00       5.533871424464e-03 
       2.130552417232e+02       6.390132055467e-04      -2.371180179962e+00       4.101443556562e-03       1.532421620949e-03       3.702844104397e-03       7.784968316105e-06       7.405964363476e-04      -1.778766245062e+00       4.112572551233e-03       5.542292666802e-01       5.848844786805e-01      -2.265874509586e+00       2.667571903816e-03       1.073903525320e-01      -1.866676295416e+00       5.545713332383e-03 
       2.135954856309e+02       6.410894475457e-04      -2.375335114231e+00       4.104825631806e-03       1.544898299229e-03       3.728866986594e-03       7.895320025944e-06       7.458016279007e-04      -1.781888500558e+00       4.116112004482e-03       5.540501911818e-01       5.845846434200e-01      -2.268993034295e+00       2.661076001473e-03       1.076511421392e-01      -1.870575061534e+00       5.557641448444e-03 
       2.141400232320e+02       6.431845246348e-04      -2.379524712612e+00       4.108201841737e-03       1.557729043050e-03       3.755902899406e-03       8.010591818742e-06       7.512094424370e-04      -1.785036888940e+00       4.119649393364e-03       5.538695467419e-01       5.842826280377e-01      -2.272130773380e+00       2.654461931747e-03       1.079123343586e-01      -1.874510723618e+00       5.569654347614e-03 
       2.146889788647e+02       6.452989714286e-04      -2.383749919345e+00       4.111571874964e-03       1.570940005357e-03       3.783933307749e-03       8.130919510050e-06       7.568161794249e-04      -1.788212123554e+00       4.123185342570e-03       5.536872899412e-01       5.839783753832e-01      -2.275288232320e+00       2.647726643933e-03       1.081739376491e-01      -1.878484296386e+00       5.581754437424e-03 
       2.152425052794e+02       6.474334347752e-04      -2.388011939981e+00       4.114935849919e-03       1.584566144187e-03       3.812957723879e-03       8.256540663746e-06       7.626217463268e-04      -1.791415114592e+00       4.126720566179e-03       5.535033552285e-01       5.836718023060e-01      -2.278466112981e+00       2.640866856827e-03       1.084359715017e-01      -1.882497038497e+00       5.593944928291e-03 
       2.158007725295e+02       6.495886315177e-04      -2.392312075687e+00       4.118293807563e-03       1.598645099054e-03       3.842992196801e-03       8.387751430516e-06       7.686293571264e-04      -1.794646844605e+00       4.130255598627e-03       5.533176795846e-01       5.833628260031e-01      -2.281665167694e+00       2.633878820411e-03       1.086984607209e-01      -1.886550313116e+00       5.606229226586e-03 
       2.163639674526e+02       6.517653469260e-04      -2.396651790974e+00       4.121645991791e-03       1.613217023150e-03       3.874067394891e-03       8.524904907683e-06       7.748451493272e-04      -1.797908419297e+00       4.133791178752e-03       5.531301862600e-01       5.830513464484e-01      -2.284886266537e+00       2.626758631255e-03       1.089614348070e-01      -1.890645638865e+00       5.618611241831e-03 
       2.169322945000e+02       6.539644383515e-04      -2.401032658585e+00       4.124992562525e-03       1.628325003721e-03       3.906227168779e-03       8.668413491983e-06       7.812778968411e-04      -1.801201026245e+00       4.137327993142e-03       5.529407986170e-01       5.827372614106e-01      -2.288130339080e+00       2.619501933439e-03       1.092249279842e-01      -1.894784650704e+00       5.631095126177e-03 
       2.175059770586e+02       6.561868408251e-04      -2.405456421528e+00       4.128333825829e-03       1.644015631294e-03       3.939527615571e-03       8.818752892943e-06       7.879388230482e-04      -1.804525981486e+00       4.140866919349e-03       5.527494275681e-01       5.824204528312e-01      -2.291398432143e+00       2.612104121767e-03       1.094889793887e-01      -1.898969149481e+00       5.643685534100e-03 
       2.180852589234e+02       6.584335732871e-04      -2.409924962140e+00       4.131670042720e-03       1.660339387459e-03       3.974036536531e-03       8.976465397687e-06       7.948414924843e-04      -1.807884706407e+00       4.144408838854e-03       5.525559808117e-01       5.821007966967e-01      -2.294691674123e+00       2.604560117490e-03       1.097536333152e-01      -1.903201082117e+00       5.656387460884e-03 
       2.186704057773e+02       6.607057449085e-04      -2.414440348013e+00       4.135001584595e-03       1.677350896476e-03       4.009833125960e-03       9.142163243608e-06       8.020017487278e-04      -1.811278762269e+00       4.147954795603e-03       5.523603543521e-01       5.817781536723e-01      -2.298011315954e+00       2.596864489559e-03       1.100189393784e-01      -1.907482579569e+00       5.669206428144e-03 
       2.192617067255e+02       6.630045616779e-04      -2.419004816089e+00       4.138328805968e-03       1.695109155767e-03       4.047007826485e-03       9.316532411992e-06       8.094376855502e-04      -1.814709838381e+00       4.151505871955e-03       5.521624384356e-01       5.814523753233e-01      -2.301358709921e+00       2.589011291413e-03       1.102849526823e-01      -1.911815948639e+00       5.682148388003e-03 
       2.198594758736e+02       6.653313332290e-04      -2.423620808291e+00       4.141652149340e-03       1.713677706399e-03       4.085662294959e-03       9.500337057251e-06       8.171696401799e-04      -1.818179778931e+00       4.155063296922e-03       5.519621116292e-01       5.811232974720e-01      -2.304735339682e+00       2.580994128426e-03       1.105517339099e-01      -1.916203702654e+00       5.695219860825e-03 
       2.204640539639e+02       6.676874799623e-04      -2.428290963520e+00       4.144972048105e-03       1.733124842275e-03       4.125909458884e-03       9.694424726016e-06       8.252202046691e-04      -1.821690577101e+00       4.158628353233e-03       5.517592451036e-01       5.807907446039e-01      -2.308142806299e+00       2.572806021639e-03       1.108193494149e-01      -1.920648559673e+00       5.708427872702e-03 
       2.210758101140e+02       6.700745406409e-04      -2.433018151752e+00       4.148289017608e-03       1.753523850917e-03       4.167873654401e-03       9.899732883876e-06       8.336142535819e-04      -1.825244400774e+00       4.162202474112e-03       5.515536972822e-01       5.804545238469e-01      -2.311582855879e+00       2.564439457398e-03       1.110878712455e-01      -1.925153472594e+00       5.721780083973e-03 
       2.216951437837e+02       6.724941809610e-04      -2.437805466762e+00       4.151603545139e-03       1.774953742458e-03       4.211690908420e-03       1.011729964288e-05       8.423790005343e-04      -1.828843587226e+00       4.165787149720e-03       5.513453182631e-01       5.801144296710e-01      -2.315057365060e+00       2.555886233847e-03       1.113573772313e-01      -1.929721628794e+00       5.735284724387e-03 
       2.223224877857e+02       6.749482063062e-04      -2.442656276668e+00       4.154916217018e-03       1.797499862369e-03       4.257509644124e-03       1.034827504198e-05       8.515441394280e-04      -1.832490681230e+00       4.169384057512e-03       5.511339424092e-01       5.797702355379e-01      -2.318568381761e+00       2.547137519272e-03       1.116279513886e-01      -1.934356495017e+00       5.748950779374e-03 
       2.229583095108e+02       6.774385676292e-04      -2.447574199477e+00       4.158227562586e-03       1.821252505248e-03       4.305490953194e-03       1.059391834723e-05       8.611418989640e-04      -1.836188416877e+00       4.172994877790e-03       5.509193964504e-01       5.794217018949e-01      -2.322118094295e+00       2.538183650607e-03       1.118996834844e-01      -1.939061803436e+00       5.762787855005e-03 
       2.236031126018e+02       6.799673691846e-04      -2.452563159389e+00       4.161538231661e-03       1.846308496528e-03       4.355808727845e-03       1.085561859749e-05       8.712070692295e-04      -1.839939760001e+00       4.176621521237e-03       5.507014884318e-01       5.790685645580e-01      -2.325708879978e+00       2.529014280219e-03       1.121726686653e-01      -1.943841599226e+00       5.776806408992e-03 
       2.242574405953e+02       6.825368840978e-04      -2.457627360922e+00       4.164848743389e-03       1.872772183926e-03       4.408650545978e-03       1.113491198427e-05       8.817771789305e-04      -1.843747889039e+00       4.180265887290e-03       5.504800188423e-01       5.787105464230e-01      -2.329343266841e+00       2.519618041921e-03       1.124470078379e-01      -1.948700229955e+00       5.791017573976e-03 
       2.249218802669e+02       6.851495689436e-04      -2.462771380716e+00       4.168159786361e-03       1.900756224873e-03       4.464218744537e-03       1.143349981559e-05       8.928927102884e-04      -1.847616264176e+00       4.183930174186e-03       5.502547641249e-01       5.783473393279e-01      -2.333024013068e+00       2.509982772362e-03       1.127228077318e-01      -1.953642423150e+00       5.805433528934e-03 
       2.255970651738e+02       6.878080792762e-04      -2.468000118588e+00       4.171471855469e-03       1.930382569850e-03       4.522731660688e-03       1.175327010866e-05       9.045973475446e-04      -1.851548590962e+00       4.187616533171e-03       5.500254930409e-01       5.779786214239e-01      -2.336754044599e+00       2.500095065678e-03       1.130001808972e-01      -1.958673259051e+00       5.820067214445e-03 
