# Matter power spectrum P(k) at redshift z=0
# for k=1.04766e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047655867215e-05       4.958778422470e+01 
       2.356547392858e-05       1.086214131294e+02 
       3.670152234396e-05       1.667337870972e+02 
       4.992119963795e-05       2.245144193352e+02 
       6.326162108298e-05       2.823065418805e+02 
       7.676086318001e-05       3.403726378780e+02 
       9.045831655018e-05       3.989407873736e+02 
       1.043950548779e-04       4.582237517896e+02 
       1.186142247773e-04       5.184288671724e+02 
       1.331614614877e-04       5.797641408160e+02 
       1.480853353048e-04       6.424425802106e+02 
       1.634378335719e-04       7.066856447750e+02 
       1.792748828284e-04       7.727262576693e+02 
       1.956569152539e-04       8.408116108351e+02 
       2.126494827316e-04       9.112058937714e+02 
       2.303239205323e-04       9.841930183757e+02 
       2.487580605783e-04       1.060079373721e+03 
       2.680369912169e-04       1.139196613892e+03 
       2.882538560903e-04       1.221904452306e+03 
       3.095106786261e-04       1.308593403070e+03 
       3.319191904464e-04       1.399687370781e+03 
       3.556016311239e-04       1.495645942372e+03 
       3.806914727996e-04       1.596966176690e+03 
       4.073340059809e-04       1.704183618900e+03 
       4.356867025456e-04       1.817872189486e+03 
       4.659192494613e-04       1.938642516121e+03 
       4.982131239984e-04       2.067138200817e+03 
       5.327605618219e-04       2.204029460194e+03 
       5.697627588287e-04       2.350003566537e+03 
       6.094271535237e-04       2.505751581579e+03 
       6.519636681570e-04       2.671951047157e+03 
       6.975798526483e-04       2.849244606864e+03 
       7.464749812007e-04       3.038214994056e+03 
       7.988332956818e-04       3.239357415567e+03 
       8.548167587426e-04       3.453051021968e+03 
       9.145578454197e-04       3.679531766435e+03 
       9.781530248543e-04       3.918869358408e+03 
       1.045657621011e-03       4.170951054479e+03 
       1.117082661768e-03       4.435474587033e+03 
       1.192394125229e-03       4.711951605401e+03 
       1.271514701278e-03       4.999721723804e+03 
       1.354327865680e-03       5.297975886890e+03 
       1.440683784863e-03       5.605786588920e+03 
       1.477104874446e-03       5.734628821898e+03 
       1.530406390281e-03       5.922141792253e+03 
       1.623300908896e-03       6.245979323978e+03 
       1.719161201608e-03       6.576219031007e+03 
       1.817776408357e-03       6.911790815738e+03 
       1.918936580814e-03       7.251657562203e+03 
       2.022437159827e-03       7.594824848125e+03 
       2.128082298132e-03       7.940363806413e+03 
       2.235687127771e-03       8.287433115475e+03 
       2.345079127377e-03       8.635253499914e+03 
       2.456098765054e-03       8.983120219050e+03 
       2.568599588656e-03       9.330401170962e+03 
       2.682447916877e-03       9.676533449690e+03 
       2.797522259556e-03       1.002101893569e+04 
       2.913712569255e-03       1.036341931565e+04 
       3.030919401769e-03       1.070335082227e+04 
       3.149053042264e-03       1.104047894631e+04 
       3.268032636658e-03       1.137451335910e+04 
       3.387785354588e-03       1.170520315660e+04 
       3.508245600298e-03       1.203233255162e+04 
       3.629354280471e-03       1.235571692038e+04 
       3.751058132936e-03       1.267519923792e+04 
       3.873309116631e-03       1.299064689237e+04 
       3.996063860955e-03       1.330194886639e+04 
       4.119283171223e-03       1.360901325299e+04 
       4.242931586185e-03       1.391176504031e+04 
       4.366976983206e-03       1.421014415257e+04 
       4.491390226651e-03       1.450410361413e+04 
       4.616144855171e-03       1.479360799515e+04 
       4.741216803780e-03       1.507863199281e+04 
       4.866584156964e-03       1.535915938997e+04 
       4.992226929344e-03       1.563518139280e+04 
       5.118126870781e-03       1.590669591486e+04 
       5.244267293107e-03       1.617370672398e+04 
       5.370632915990e-03       1.643622080412e+04 
       5.497209729703e-03       1.669425226391e+04 
       5.623984872836e-03       1.694781954929e+04 
       5.750946523204e-03       1.719694339899e+04 
       5.878083800433e-03       1.744164760518e+04 
       6.005386678864e-03       1.768195869530e+04 
       6.132845909592e-03       1.791790555684e+04 
       6.260452950601e-03       1.814951918060e+04 
       6.388199904071e-03       1.837683240809e+04 
       6.516079460044e-03       1.859987967245e+04 
       6.644084845754e-03       1.881869677865e+04 
       6.772209779986e-03       1.903332069384e+04 
       6.900448431903e-03       1.924378934775e+04 
       7.028795383876e-03       1.945014147334e+04 
       7.157245597865e-03       1.965241645264e+04 
       7.285794384998e-03       1.985065419224e+04 
       7.414437377977e-03       2.004489502656e+04 
       7.543170506056e-03       2.023517962091e+04 
       7.671989972291e-03       2.042154891136e+04 
       7.800892232853e-03       2.060404404137e+04 
       7.929873978185e-03       2.078270630384e+04 
       8.058932115823e-03       2.095757709790e+04 
       8.188063754713e-03       2.112869786368e+04 
       8.317266190888e-03       2.129611003301e+04 
       8.446536894355e-03       2.145985496565e+04 
       8.575873497100e-03       2.161997387964e+04 
       8.705273782085e-03       2.177650779518e+04 
       8.834735673156e-03       2.192949745847e+04 
       8.964257225778e-03       2.207898329381e+04 
       9.093836618514e-03       2.222500534677e+04 
       9.223472145186e-03       2.236760324650e+04 
       9.353162207660e-03       2.250681618574e+04 
       9.482905309193e-03       2.264268290536e+04 
       9.612700048301e-03       2.277524170526e+04 
       9.742545113093e-03       2.290453047781e+04 
       9.872439276040e-03       2.303058670984e+04 
       1.000238138914e-02       2.315344752496e+04 
       1.013237037946e-02       2.327314971903e+04 
       1.026240524496e-02       2.338972977631e+04 
       1.039248505069e-02       2.350322389698e+04 
       1.052260892522e-02       2.361366800220e+04 
       1.065277605736e-02       2.372109773906e+04 
       1.078298569310e-02       2.382554846760e+04 
       1.091323713273e-02       2.392705524570e+04 
       1.104352972829e-02       2.402565280465e+04 
       1.117386288102e-02       2.412137552611e+04 
       1.130423603919e-02       2.421425741973e+04 
       1.143464869592e-02       2.430433210870e+04 
       1.156510038721e-02       2.439163282407e+04 
       1.169559069016e-02       2.447619241119e+04 
       1.182611922124e-02       2.455804334702e+04 
       1.195668563472e-02       2.463721777177e+04 
       1.208728962120e-02       2.471374751792e+04 
       1.221793090624e-02       2.478766414950e+04 
       1.234860924909e-02       2.485899899775e+04 
       1.247932444154e-02       2.492778319128e+04 
       1.261007630676e-02       2.499404767317e+04 
       1.274086469836e-02       2.505782322219e+04 
       1.287168949938e-02       2.511914046240e+04 
       1.300255062146e-02       2.517802985321e+04 
       1.313344800401e-02       2.523452168127e+04 
       1.326438161346e-02       2.528864591860e+04 
       1.339535144258e-02       2.534043184946e+04 
       1.352635750980e-02       2.538990763067e+04 
       1.365739985868e-02       2.543710061510e+04 
       1.378847855733e-02       2.548203692894e+04 
       1.391959369792e-02       2.552474539396e+04 
       1.405074539624e-02       2.556525329786e+04 
       1.418193379126e-02       2.560358842356e+04 
       1.431315904478e-02       2.563977821847e+04 
       1.444442134107e-02       2.567384978174e+04 
       1.457572088659e-02       2.570582991082e+04 
       1.470705790970e-02       2.573574511904e+04 
       1.477104874446e-02       2.574957745338e+04 
       1.483843266040e-02       2.576362167075e+04 
       1.496984541019e-02       2.578948559553e+04 
       1.510129645178e-02       2.581336269648e+04 
       1.523278609906e-02       2.583527855888e+04 
       1.536431468685e-02       2.585525855391e+04 
       1.549588257089e-02       2.587332784338e+04 
       1.562749012771e-02       2.588951138321e+04 
       1.575913775460e-02       2.590383392450e+04 
       1.589082586956e-02       2.591632001876e+04 
       1.602255491129e-02       2.592699401624e+04 
       1.615432533921e-02       2.593588007045e+04 
       1.628613763351e-02       2.594300213841e+04 
       1.641799229515e-02       2.594838398198e+04 
       1.654988984596e-02       2.595204916900e+04 
       1.668183082875e-02       2.595402107473e+04 
       1.681381580739e-02       2.595432288276e+04 
       1.694584536693e-02       2.595297758688e+04 
       1.707792011378e-02       2.595000799284e+04 
       1.721004067586e-02       2.594543672013e+04 
       1.734220770274e-02       2.593928620465e+04 
       1.747442186589e-02       2.593157870151e+04 
       1.760668385890e-02       2.592233628794e+04 
       1.773899439764e-02       2.591158086508e+04 
       1.787135422059e-02       2.589933416389e+04 
       1.800376408906e-02       2.588561774631e+04 
