#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       2.125193285012e+02       6.369558855821e-04      -2.367060160960e+00       4.098056399940e-03       1.520350728093e-03       3.677865311856e-03       7.679987936155e-06       7.356000717361e-04      -1.775670308069e+00       4.109031989294e-03       5.544067436327e-01       5.851821128591e-01      -2.262775574007e+00       2.673950514479e-03       1.071300333810e-01      -1.862814544586e+00       5.533870947435e-03 
       2.130552206267e+02       6.390131245143e-04      -2.371180017670e+00       4.101443416988e-03       1.532423027524e-03       3.702845313942e-03       7.784978498191e-06       7.405966783102e-04      -1.778766123162e+00       4.112572426606e-03       5.542292729191e-01       5.848844904055e-01      -2.265874387650e+00       2.667572155984e-03       1.073903423159e-01      -1.866676143245e+00       5.545712866185e-03 
       2.135954656350e+02       6.410893706557e-04      -2.375334960326e+00       4.104825497856e-03       1.544900346500e-03       3.728868750680e-03       7.895334982541e-06       7.458019807962e-04      -1.781888384970e+00       4.116111893565e-03       5.540501968180e-01       5.845846545291e-01      -2.268992918910e+00       2.661076242866e-03       1.076511325169e-01      -1.870574917076e+00       5.557641006880e-03 
       2.141400046845e+02       6.431844532347e-04      -2.379524569772e+00       4.108201715465e-03       1.557731830801e-03       3.755905429960e-03       8.010612410045e-06       7.512099486567e-04      -1.785036781682e+00       4.119649298041e-03       5.538695516273e-01       5.842826383397e-01      -2.272130666526e+00       2.654462157849e-03       1.079123254906e-01      -1.874510589409e+00       5.569653938300e-03 
       2.146889621422e+02       6.452989069810e-04      -2.383749790471e+00       4.111571758148e-03       1.570943652360e-03       3.783936825230e-03       8.130946818444e-06       7.568168830677e-04      -1.788212026812e+00       4.123185265733e-03       5.536872939115e-01       5.839783846715e-01      -2.275288136130e+00       2.647726849744e-03       1.081739297060e-01      -1.878484175179e+00       5.581754068588e-03 
       2.152424908310e+02       6.474333790289e-04      -2.388011828537e+00       4.114935744477e-03       1.584570807783e-03       3.812962470545e-03       8.256576110052e-06       7.626226958525e-04      -1.791415030974e+00       4.126720511604e-03       5.535033580821e-01       5.836718103342e-01      -2.278466029991e+00       2.640867036290e-03       1.084359646847e-01      -1.882496933588e+00       5.593944609735e-03 
       2.158007609004e+02       6.495885865978e-04      -2.392311985880e+00       4.118293715735e-03       1.598650981393e-03       3.842998451750e-03       8.387796818616e-06       7.686306083653e-04      -1.794646777280e+00       4.130255570972e-03       5.533176810723e-01       5.833628324726e-01      -2.281665100974e+00       2.633878966094e-03       1.086984552714e-01      -1.886550228510e+00       5.606228970199e-03 
       2.163639593059e+02       6.517653154212e-04      -2.396651727919e+00       4.121645916228e-03       1.613224376949e-03       3.874075488826e-03       8.524962480601e-06       7.748467684330e-04      -1.797908372118e+00       4.133791183656e-03       5.531301860768e-01       5.830513509965e-01      -2.284886219809e+00       2.626758734007e-03       1.089614310159e-01      -1.890645579445e+00       5.618611062045e-03 
       2.169322906410e+02       6.539644234107e-04      -2.401032628501e+00       4.124992506388e-03       1.628334139053e-03       3.906237498844e-03       8.668486005721e-06       7.812799632588e-04      -1.801201003898e+00       4.137328037396e-03       5.529407963916e-01       5.827372635969e-01      -2.288130316853e+00       2.619501982024e-03       1.092249262008e-01      -1.894784622412e+00       5.631095040514e-03 
       2.175059784638e+02       6.561868462719e-04      -2.405456431955e+00       4.128333792875e-03       1.644026924383e-03       3.939540661018e-03       8.818843712910e-06       7.879414326489e-04      -1.804525989653e+00       4.140867011095e-03       5.527494228513e-01       5.824204521225e-01      -2.291398439868e+00       2.612104102406e-03       1.094889800323e-01      -1.898969159535e+00       5.643685563775e-03 
