#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       7.882988290723e+01       1.946299463407e-04      -1.350347894408e+00       2.358814264473e-05       7.621866278110e-07       1.905466569528e-06       3.486371178138e-11       3.810933139055e-07      -1.012760920806e+00       2.358814264473e-05       5.896056015550e-01       6.627147566095e-01      -1.350347894408e+00       2.358020327738e-05       2.413841691285e-04      -1.012760920806e+00       2.359902498919e-05 
       1.138298829075e+02       2.967846468648e-04      -1.349108286558e+00       3.262344851889e-05       2.423954088225e-06       6.059885220564e-06       2.578853810312e-10       1.211977044113e-06      -1.011831215300e+00       3.262347902334e-05       5.976356341852e-01       6.633522931671e-01      -1.349107565814e+00       3.259819496534e-05       5.032675895440e-04      -1.011831900371e+00       3.265372566086e-05 
       1.623719558546e+02       4.544863650153e-04      -1.378211884040e+00       4.519649794102e-05       8.020955287096e-06       2.005238821774e-05       2.045253653681e-09       4.010477643548e-06      -1.033658919021e+00       4.519675732224e-05       6.004213973805e-01       6.567062688879e-01      -1.378208021342e+00       4.511778447286e-05       1.006139734727e-03      -1.033662131823e+00       4.527491578059e-05 
       2.263596179268e+02       6.908149280508e-04      -1.418752285799e+00       6.132538029529e-05       2.817753152984e-05       7.044382882461e-05       1.973109862271e-08       1.408876576492e-05      -1.064064273275e+00       6.132726158000e-05       6.009009442428e-01       6.477081862259e-01      -1.418736063784e+00       6.109630129221e-05       1.911749855207e-03      -1.064075531075e+00       6.150787712766e-05 
       2.264996561137e+02       6.913676169559e-04      -1.418835877121e+00       6.136005670948e-05       2.827663168134e-05       7.069157920334e-05       1.987307845163e-08       1.413831584067e-05      -1.064126967031e+00       6.136194812932e-05       6.008988467776e-01       6.476901518364e-01      -1.418819612291e+00       6.113052297426e-05       1.914026859608e-03      -1.064138250142e+00       6.154283356122e-05 
       2.266402053263e+02       6.919224785322e-04      -1.418919744684e+00       6.139485683118e-05       2.837688050672e-05       7.094220126681e-05       2.001732844440e-08       1.418844025336e-05      -1.064189867969e+00       6.139675851518e-05       6.008967093096e-01       6.476720604635e-01      -1.418903436796e+00       6.116486610684e-05       1.916313448429e-03      -1.064201176523e+00       6.157791497429e-05 
       2.267812722124e+02       6.924795407376e-04      -1.419003893395e+00       6.142978233416e-05       2.847825571076e-05       7.119563927689e-05       2.016386773427e-08       1.423912785538e-05      -1.064252979772e+00       6.143169441366e-05       6.008945309554e-01       6.476539110340e-01      -1.418987542205e+00       6.119933233545e-05       1.918609743711e-03      -1.064264313900e+00       6.161312305701e-05 
       2.269228635389e+02       6.930388320359e-04      -1.419088327776e+00       6.146483490003e-05       2.858076530251e-05       7.145191325627e-05       2.031273901959e-08       1.429038265125e-05      -1.064316305829e+00       6.146675750890e-05       6.008923108431e-01       6.476357025740e-01      -1.419071933037e+00       6.123392331290e-05       1.920915869722e-03      -1.064327665665e+00       6.164845950771e-05 
       2.270649861794e+02       6.936003813498e-04      -1.419173050353e+00       6.150001614050e-05       2.868448133257e-05       7.171120333141e-05       2.046403039422e-08       1.434224066628e-05      -1.064379848036e+00       6.150194941507e-05       6.008900486129e-01       6.476174346113e-01      -1.419156611813e+00       6.126864062163e-05       1.923231952770e-03      -1.064391233716e+00       6.168392595512e-05 
       2.272076471189e+02       6.941642180807e-04      -1.419258063702e+00       6.153532769375e-05       2.878943347359e-05       7.197358368397e-05       2.061779996475e-08       1.439471673679e-05      -1.064443608324e+00       6.153727177275e-05       6.008877439602e-01       6.475991066638e-01      -1.419241581106e+00       6.130348586998e-05       1.925558121286e-03      -1.064455019984e+00       6.171952405463e-05 
       2.273508534612e+02       6.947303721368e-04      -1.419343370880e+00       6.157077124608e-05       2.889563657523e-05       7.223909143807e-05       2.077409635844e-08       1.444781828761e-05      -1.064507588987e+00       6.157272627068e-05       6.008853964736e-01       6.475807181315e-01      -1.419326843972e+00       6.133846071386e-05       1.927894505940e-03      -1.064519026767e+00       6.175525551012e-05 
       2.274946124196e+02       6.952988738988e-04      -1.419428975446e+00       6.160634853068e-05       2.900311566501e-05       7.250778916251e-05       2.093297641079e-08       1.450155783250e-05      -1.064571792693e+00       6.160831464455e-05       6.008830056393e-01       6.475622682926e-01      -1.419412403963e+00       6.137356685558e-05       1.930241239509e-03      -1.064583256733e+00       6.179112207261e-05 
       2.276389313324e+02       6.958697542824e-04      -1.419514881484e+00       6.164206133251e-05       2.911183563462e-05       7.277958908654e-05       2.109445512934e-08       1.455591781731e-05      -1.064636222506e+00       6.164403868192e-05       6.008805707978e-01       6.475437562958e-01      -1.419498265163e+00       6.140880604867e-05       1.932598457136e-03      -1.064647712949e+00       6.182712554524e-05 
       2.277838176764e+02       6.964430447920e-04      -1.419601093647e+00       6.167791149291e-05       2.922176128466e-05       7.305440321166e-05       2.125855074304e-08       1.461088064233e-05      -1.064700881916e+00       6.167990022706e-05       6.008780910249e-01       6.475251811517e-01      -1.419584432219e+00       6.144418010249e-05       1.934966296560e-03      -1.064712398906e+00       6.186326778798e-05 
       2.279292790538e+02       6.970187774701e-04      -1.419687617157e+00       6.171390090710e-05       2.933298429436e-05       7.333246073589e-05       2.142537427979e-08       1.466649214718e-05      -1.064765774838e+00       6.171590117812e-05       6.008755652941e-01       6.475065417314e-01      -1.419670910351e+00       6.147969087969e-05       1.937344897909e-03      -1.064777318522e+00       6.189955071496e-05 
       2.280753231855e+02       6.975969848716e-04      -1.419774457677e+00       6.175003151678e-05       2.944555708612e-05       7.361389271531e-05       2.159500778039e-08       1.472277854306e-05      -1.064830905521e+00       6.175204347961e-05       6.008729925959e-01       6.474878367985e-01      -1.419757705217e+00       6.151534028880e-05       1.939734403599e-03      -1.064842476046e+00       6.193597628711e-05 
       2.282219578328e+02       6.981776997560e-04      -1.419861619192e+00       6.178630519366e-05       2.955949022734e-05       7.389872556835e-05       2.176750389815e-08       1.477974511367e-05      -1.064896276954e+00       6.178832900606e-05       6.008703722963e-01       6.474690655376e-01      -1.419844820800e+00       6.155113016806e-05       1.942134957069e-03      -1.064907874471e+00       6.197254639548e-05 
