#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       7.008972635566e-01       1.514158906959e-06      -1.204277144776e+00       2.103667536737e-03       3.849417104798e-09       9.623542761995e-09       9.905876915820e-16       1.924708552399e-09      -9.032078585822e-01       2.103667536737e-03       6.011327697851e-01       6.991767336608e-01      -1.204277144776e+00       2.103206713204e-03       1.968158839026e-04      -9.032078585822e-01       2.104622280080e-03 
       1.050897263565e+00       2.271722333391e-06      -1.207088468643e+00       3.152386404044e-03       1.294312289280e-08       3.235780723200e-08       7.497295255835e-15       6.471561446399e-09      -9.053163514821e-01       3.152386404195e-03       6.009682765524e-01       6.987805351139e-01      -1.207088032061e+00       3.150832461109e-03       4.419712206348e-04      -9.053170292551e-01       3.155601159760e-03 
       1.575338623081e+00       3.408670123231e-06      -1.212302611274e+00       4.717583379082e-03       4.334014161843e-08       1.083503540461e-07       5.652171340933e-14       2.167007080922e-08      -9.092269584558e-01       4.717583380569e-03       6.006970970639e-01       6.981650088663e-01      -1.212299970014e+00       4.712347820995e-03       9.915453058529e-04      -9.092310530310e-01       4.728394009920e-03 
       2.360748789752e+00       5.115442311301e-06      -1.223149634319e+00       7.043092114716e-03       1.461128287102e-07       3.652820717754e-07       4.291506511085e-13       7.305641435509e-08      -9.173622257440e-01       7.043092126724e-03       6.001256854867e-01       6.969933054246e-01      -1.223135878676e+00       7.025478278314e-03       2.219279761466e-03      -9.173835068638e-01       7.079374285322e-03 
       3.536064290620e+00       7.678620968052e-06      -1.246379394631e+00       1.046394027690e-02       4.912568050720e-07       1.228142012680e-06       3.251098178993e-12       2.456284025360e-07      -9.347845460271e-01       1.046394036922e-02       5.988560973596e-01       6.946179435443e-01      -1.246309791369e+00       1.040487273623e-02       4.943164741402e-03      -9.348919685432e-01       1.058530984243e-02 
       5.292794652399e+00       1.153012401554e-05      -1.296441064141e+00       1.538628894015e-02       1.621127603157e-06       4.052819007892e-06       2.419024138660e-11       8.105638015783e-07      -9.723307987193e-01       1.538628963715e-02       5.960284801580e-01       6.896841907192e-01      -1.296092672381e+00       1.518958648738e-02       1.089975772413e-02      -9.728674683594e-01       1.579003587166e-02 
       7.914031025554e+00       1.732233148339e-05      -1.403569389566e+00       2.211897708529e-02       5.284326996154e-06       1.321081749038e-05       1.779743513141e-10       2.642163498077e-06      -1.052677049034e+00       2.211898227747e-02       5.897895236274e-01       6.793491810162e-01      -1.401847827014e+00       2.147381755316e-02       2.352298357561e-02      -1.055331912006e+00       2.344907120344e-02 
       1.181531747096e+01       2.604362851573e-05      -1.626910622410e+00       3.021801154937e-02       1.614460182771e-05       4.036150456927e-05       1.229094759354e-09       8.072300913853e-06      -1.220183042008e+00       3.021804945324e-02       5.762509628441e-01       6.578305797697e-01      -1.618612229135e+00       2.817151077473e-02       4.842629757315e-02      -1.233115724062e+00       3.452334015666e-02 
       1.681531747096e+01       3.739692749921e-05      -1.998995355674e+00       3.609628468817e-02       3.987795336946e-05       9.969488342365e-05       6.259789804323e-09       1.993897668473e-05      -1.499247125686e+00       3.609649798773e-02       5.521200331219e-01       6.208566690070e-01      -1.966982445341e+00       3.074277289852e-02       8.411397159816e-02      -1.550631184129e+00       4.795202866491e-02 
       2.181531747096e+01       4.894776637365e-05      -2.424131496553e+00       3.584405082400e-02       6.807296494095e-05       1.701824123524e-04       1.830608473466e-08       3.403648247048e-05      -1.818101413383e+00       3.584479256357e-02       5.214176593927e-01       5.754274979856e-01      -2.341081662814e+00       2.569041527260e-02       1.132054476135e-01      -1.958025511425e+00       6.029055559835e-02 
       2.681531747096e+01       6.069614513905e-05      -2.849476666491e+00       2.896102069787e-02       8.511619756461e-05       2.127904939115e-04       3.519568948727e-08       4.255809878231e-05      -2.137116626729e+00       2.896295265008e-02       4.854185268462e-01       5.240192050381e-01      -2.680674130069e+00       1.339337983907e-02       1.243930823796e-01      -2.441892659389e+00       7.133704757140e-02 
       3.181531747096e+01       7.264206379539e-05      -3.221046398652e+00       1.566905215761e-02       6.651147265776e-05       1.662786816444e-04       3.939380734490e-08       3.325573632888e-05      -2.415808594054e+00       1.567318313707e-02       4.455025272690e-01       4.691622104075e-01      -2.932260394493e+00      -4.478323081484e-03       1.092231647978e-01      -2.987790674456e+00       8.094476451004e-02 
       3.681531747096e+01       8.478552234269e-05      -3.489094412247e+00      -3.127626204050e-03      -1.503047519631e-05      -3.757618799078e-05      -1.212749644161e-08      -7.515237598157e-06      -2.616873413985e+00      -3.120001531952e-03       4.030985696430e-01       4.132759175627e-01      -3.057359198615e+00      -2.529395295812e-02       6.408590265026e-02      -3.581020425477e+00       8.902456564777e-02 
       4.181531747096e+01       9.712652078094e-05      -3.612914123603e+00      -2.594471505521e-02      -1.852792693309e-04      -4.631981733272e-04      -1.961812681906e-07      -9.263963466544e-05      -2.709787974866e+00      -2.593220303203e-02       3.596266982679e-01       3.585283003518e-01      -3.037888296970e+00      -4.595778872106e-02      -8.790461589118e-03      -4.207335906033e+00       9.554492151166e-02 
       4.681531747096e+01       1.096650591101e-04      -3.564643219785e+00      -5.087009231582e-02      -4.774862612991e-04      -1.193715653248e-03      -6.445439399336e-07      -2.387431306496e-04      -2.673662128194e+00      -5.085151389882e-02       3.164408976744e-01       3.067305474611e-01      -2.877816077523e+00      -6.347220718764e-02      -1.015480715851e-01      -4.853543274562e+00       1.005294792442e-01 
