# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)n_ncdm[1]          16:(.)rho_ncdm[1]        17:(.)p_ncdm[1]          18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_dcdm           22:(.)rho_dr             23:gr.fac. D             24:gr.fac. f          
       9.326212236455e+11       8.687078762222e-22       4.968023858964e-07       1.877250031070e+18       1.417854795398e+04       1.520290080740e-08       1.322321474237e+16       2.868286619595e-07       2.081614238065e+36       1.988512843845e+27       9.025566647806e+24       1.629754176007e+23       4.789892829060e+35       1.596630943020e+35       2.223580593114e+04       2.201338275880e+04       7.052737747007e-01       3.500028081119e-08       9.634641454088e+35       3.524067679153e+36       1.077652657748e+28       1.204820620460e+03       9.766609297079e-07       1.433565615470e+01 
       9.261382558545e+11       8.809123531738e-22       5.002802936360e-07       1.851241933175e+18       1.417854795397e+04       1.530932111305e-08       1.313129567266e+16       2.888364625923e-07       2.024334923491e+36       1.947331947222e+27       8.838652629002e+24       1.596002954107e+23       4.658090416724e+35       1.552696805575e+35       2.177531585776e+04       2.155748458146e+04       6.810996732775e-01       3.500028081119e-08       9.369527174718e+35       3.427096695145e+36       1.055335123903e+28       1.195010624372e+03       1.074327022672e-06       1.303241468604e+01 
       9.197003533808e+11       8.932882908220e-22       5.037818482378e-07       1.825594160833e+18       1.417854795397e+04       1.541648636084e-08       1.304001556371e+16       2.908583178295e-07       1.968631751037e+36       1.907003882026e+27       8.655609486319e+24       1.562950699571e+23       4.529914781963e+35       1.509971593988e+35       2.343059631002e+04       2.319619865186e+04       7.277818932581e-01       3.500028081119e-08       9.111707985824e+35       3.332794040067e+36       1.033479772666e+28       1.185308304113e+03       1.171993115636e-06       1.194638012882e+01 
       9.133072029600e+11       9.058380980181e-22       5.073070497019e-07       1.800301721964e+18       1.417854795397e+04       1.552440176536e-08       1.294936997389e+16       2.928943260533e-07       1.914461350353e+36       1.867510986635e+27       8.476357056259e+24       1.530582937208e+23       4.405266127547e+35       1.468422042516e+35       2.712854866107e+04       2.685715704706e+04       8.426709665505e-01       3.500028081119e-08       8.860983150032e+35       3.241086290107e+36       1.012077032517e+28       1.175711824742e+03       1.269659208598e-06       1.102742781117e+01 
       9.069584935054e+11       9.185642174553e-22       5.108595360070e-07       1.775359693651e+18       1.417854795396e+04       1.563307257772e-08       1.285935449243e+16       2.949445863347e-07       1.861781544498e+36       1.828835965188e+27       8.300816835458e+24       1.498885491599e+23       4.284047402345e+35       1.428015800782e+35       2.864378637914e+04       2.835722724542e+04       8.835945211053e-01       3.500028081119e-08       8.617157453608e+35       3.151902041841e+36       9.911175301535e+27       1.166219393969e+03       1.367325301560e-06       1.023975439605e+01 
       9.006539160927e+11       9.314691261443e-22       5.144356691744e-07       1.750763221180e+18       1.417854795396e+04       1.574250408576e-08       1.276996473926e+16       2.970091984380e-07       1.810551317108e+36       1.790961880011e+27       8.128911946312e+24       1.467844480891e+23       4.166164225761e+35       1.388721408587e+35       2.805059091177e+04       2.776994826197e+04       8.533082481863e-01       3.500028081119e-08       8.380041054474e+35       3.065171856636e+36       9.705920863894e+27       1.156829261033e+03       1.464991394521e-06       9.557104102945e+00 
       8.943931639451e+11       9.445553358952e-22       5.180354492040e-07       1.726507517095e+18       1.417854795396e+04       1.585270161435e-08       1.268119636470e+16       2.990882628260e-07       1.760730780455e+36       1.753872144200e+27       7.960567103302e+24       1.437446310714e+23       4.051524814246e+35       1.350508271415e+35       3.156623472813e+04       3.125041897056e+04       9.605675437044e-01       3.500028081119e-08       8.149449334394e+35       2.980828206586e+36       9.504917121341e+27       1.147539715620e+03       1.562657487481e-06       8.959785096478e+00 
       8.881759324181e+11       9.578253938069e-22       5.216625140747e-07       1.702587860269e+18       1.417854795395e+04       1.596367052565e-08       1.259304504935e+16       3.011818806647e-07       1.712281144394e+36       1.717550514353e+27       7.795708580031e+24       1.407677668230e+23       3.940039909841e+35       1.313346636614e+35       3.294655613482e+04       3.261692028149e+04       9.957890618095e-01       3.500028081119e-08       7.925202755230e+35       2.898805421935e+36       9.308076044556e+27       1.138349086796e+03       1.660323580440e-06       8.432738914303e+00 
       8.820019189852e+11       9.712818827619e-22       5.253132258076e-07       1.678999594981e+18       1.417854795395e+04       1.607541621933e-08       1.250550650382e+16       3.032901538282e-07       1.665164686160e+36       1.681981083461e+27       7.634264176928e+24       1.378525516302e+23       3.831622710678e+35       1.277207570226e+35       3.226425291185e+04       3.194142335192e+04       9.616571732599e-01       3.500028081119e-08       7.707126719154e+35       2.819039639948e+36       9.115311427250e+27       1.129255741983e+03       1.757989673398e-06       7.964253419037e+00 
       8.758708232226e+11       9.849274219301e-22       5.289912223816e-07       1.655738130015e+18       1.417854795394e+04       1.618794413286e-08       1.241857646854e+16       3.054131849038e-07       1.619344720995e+36       1.647148273940e+27       7.476163189632e+24       1.349977087785e+23       3.726188803397e+35       1.242062934466e+35       3.560779717619e+04       3.525151375310e+04       1.061954632812e+00       3.500028081119e-08       7.495051432709e+35       2.741468755186e+36       8.926538848419e+27       1.120258085955e+03       1.855655766355e-06       7.545082186431e+00 
       8.697823467949e+11       9.987646672779e-22       5.326946848072e-07       1.632798937761e+18       1.417854795394e+04       1.630125974179e-08       1.233225071354e+16       3.075510771969e-07       1.574785573588e+36       1.613036830807e+27       7.321336378026e+24       1.322019879931e+23       3.623656097419e+35       1.207885365806e+35       3.686229655640e+04       3.649344996746e+04       1.092079516274e+00       3.500028081119e-08       7.288811774607e+35       2.666032371153e+36       8.741675635361e+27       1.111354559859e+03       1.953321859312e-06       7.167828077087e+00 
       8.637361934408e+11       1.012796312085e-21       5.364236130845e-07       1.610177553336e+18       1.417854795394e+04       1.641536855997e-08       1.224652503827e+16       3.097039347361e-07       1.531452550300e+36       1.579631815001e+27       7.169715935916e+24       1.294641648919e+23       3.523944761036e+35       1.174648253679e+35       4.005503834416e+04       3.965424619784e+04       1.187486772898e+00       3.500028081119e-08       7.088247167164e+35       2.592671753267e+36       8.560640827482e+27       1.102543640274e+03       2.050987952268e-06       6.826502930538e+00 
       8.577320689581e+11       1.027025087471e-21       5.401780072134e-07       1.587869573717e+18       1.417854795393e+04       1.653027613989e-08       1.216139527136e+16       3.118718622779e-07       1.489311912146e+36       1.546918596840e+27       7.021235461330e+24       1.267830404489e+23       3.426977159251e+35       1.142325719750e+35       3.922552276000e+04       3.883300660953e+04       1.146784198740e+00       3.500028081119e-08       6.893201451277e+35       2.521329783136e+36       8.383355140826e+27       1.093823838278e+03       2.148654045223e-06       6.516207342768e+00 
       8.517696811897e+11       1.041453762921e-21       5.439596861834e-07       1.565870656880e+18       1.417854795393e+04       1.664598807287e-08       1.207685727047e+16       3.140549653126e-07       1.448330848530e+36       1.514882849614e+27       6.875829927444e+24       1.241574404693e+23       3.332677793330e+35       1.110892597777e+35       4.036384987513e+04       3.995993141293e+04       1.172418556058e+00       3.500028081119e-08       6.703522764839e+35       2.451950914078e+36       8.209740933366e+27       1.085193698562e+03       2.246320138177e-06       6.232893980022e+00 
