#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:a                      2:tau [Mpc]              3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:eta_prime             14:h_prime               15:phi_prime             16:delta_ur              17:theta_ur              18:shear_ur              19:delta_cdm             20:theta_cdm             21:delta_ncdm[0]         22:theta_ncdm[0]         23:shear_ncdm[0]         24:cs2_ncdm[0]           25:w_p[0]                26:w_theta[0]            27:pi_ncdm[0]            28:k_fss_wdm[0]          29:w_trial_1             30:w_trial_2             31:delta_dcdm            32:theta_dcdm            33:delta_dr              34:theta_dr              35:shear_dr           
       6.068441404059e-05       2.681551859472e+01      -1.735865126431e+00      -4.235352543647e-02       8.366628640222e-05       2.091657160055e-04       3.399183195752e-08       4.183314320111e-05      -1.301907955209e+00      -4.235159720627e-02       4.854159781214e-01       5.240076265396e-01      -1.257641683833e-02       2.181397172591e-01      -1.071136501426e-02      -1.566854388962e+00      -5.794730430470e-02       1.243995605823e-01      -1.606555783064e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -1.606555783064e+00       0.000000000000e+00      -1.687504810089e+00      -2.321609131632e-02       7.595376330673e-02 
       7.262708206983e-05       3.181551859472e+01      -2.147934850425e+00      -6.523587648358e-02       6.540132593297e-05       1.635033148324e-04       3.805866038399e-08       3.270066296648e-05      -1.610974887090e+00      -6.523175397706e-02       4.454876991334e-01       4.691421439225e-01      -1.330344964845e-02       2.417172032464e-01      -1.115372567738e-02      -1.858705499463e+00      -8.542863396914e-02       1.092270120749e-01      -2.182675221113e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -2.182675221113e+00       0.000000000000e+00      -2.224391752484e+00      -3.635644332289e-02       8.901837360078e-02 
       8.476698122380e-05       3.681551859472e+01      -2.461773603140e+00      -9.209012532305e-02      -1.541397980270e-05      -3.853494950676e-05      -1.221906492165e-08      -7.706989901352e-06      -1.846382700694e+00      -9.208251700827e-02       4.030681940748e-01       4.132431429122e-01      -1.351212726238e-02       2.591277498160e-01      -1.113326999455e-02      -2.029213329638e+00      -1.143263228167e-01       6.408388732831e-02      -2.809995002539e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -2.809995002539e+00       0.000000000000e+00      -2.764901540737e+00      -5.234971319262e-02       9.430911588172e-02 
       9.710411150052e-05       4.181551859472e+01      -2.635562862721e+00      -1.214024226530e-01      -1.844786262526e-04      -4.611965656316e-04      -1.919071015493e-07      -9.223931312632e-05      -1.976774314285e+00      -1.213899381628e-01       3.595772644907e-01       3.584783480429e-01      -1.326230004743e-02       2.706671120098e-01      -1.071207227849e-02      -2.059155098273e+00      -1.415129497205e-01      -8.802240882726e-03      -3.473415068863e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -3.473415068863e+00       0.000000000000e+00      -3.284195231161e+00      -7.067063348221e-02       8.958422148256e-02 
       1.096384728977e-04       4.681551859472e+01      -2.640282578163e+00      -1.512875627091e-01      -4.746330420535e-04      -1.186582605134e-03      -6.294390416595e-07      -2.373165210267e-04      -1.980391261370e+00      -1.512690252319e-01       3.163687706270e-01       3.066589168614e-01      -1.263274059802e-02       2.768549210268e-01      -9.969312153374e-03      -1.951331864453e+00      -1.640142863966e-01      -1.015738886310e-01      -4.158866369823e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -4.158866369823e+00       0.000000000000e+00      -3.761746099878e+00      -9.061428862431e-02       7.347926821651e-02 
       1.223700654128e-04       5.181551859472e+01      -2.462244635076e+00      -1.796697802231e-01      -8.695975033030e-04      -2.173993758258e-03      -1.436608465052e-06      -4.347987516515e-04      -1.846971966368e+00      -1.796446362255e-01       2.746770138709e-01       2.591747985959e-01      -1.171275022313e-02       2.783748107324e-01      -8.992888994262e-03      -1.728417529920e+00      -1.795267209692e-01      -2.021089032943e-01      -4.853796940444e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -4.853796940444e+00       0.000000000000e+00      -4.182326426438e+00      -1.113726750411e-01       4.561419268036e-02 
       1.352988890428e-04       5.681551859472e+01      -2.104161554454e+00      -2.044764834981e-01      -1.392070334169e-03      -3.480175835423e-03      -2.811484027442e-06      -6.960351670846e-04      -1.578551093794e+00      -2.044452505567e-01       2.355697725404e-01       2.169716876305e-01      -1.059397570734e-02       2.760116314057e-01      -7.871327348895e-03      -1.427571268953e+00      -1.867949329645e-01      -2.962569956664e-01      -5.547503415773e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -5.547503415773e+00       0.000000000000e+00      -4.536434056777e+00      -1.321147623606e-01       6.587684489196e-03 
       1.484249437847e-04       6.181551859472e+01      -1.584725072727e+00      -2.238267484131e-01      -2.000108328441e-03      -5.000270821104e-03      -4.864407242857e-06      -1.000054164221e-03      -1.189141338223e+00      -2.237914026164e-01       1.999110063730e-01       1.805659888999e-01      -9.363237842455e-03       2.705913749485e-01      -6.686776099872e-03      -1.092986500889e+00      -1.857836702459e-01      -3.704846303858e-01      -6.231307894294e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -6.231307894294e+00       0.000000000000e+00      -4.820181866617e+00      -1.520613954896e-01      -4.213201949331e-02 
       1.617482296348e-04       6.681551859472e+01      -9.368035500558e-01      -2.361977173752e-01      -2.622297316638e-03      -6.555743291594e-03      -7.652695069602e-06      -1.311148658319e-03      -7.033802900712e-01      -2.361616591074e-01       1.683370248066e-01       1.500907640601e-01      -8.096959608243e-03       2.629283478455e-01      -5.509706135368e-03      -7.678702308554e-01      -1.776200074147e-01      -4.143873334611e-01      -6.898592858372e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -6.898592858372e+00       0.000000000000e+00      -5.034726318108e+00      -1.705477447014e-01      -9.839937456220e-02 
       1.752687465894e-04       7.181551859472e+01      -2.044889412959e-01      -2.405530981098e-01      -3.366007178912e-03      -8.415017947281e-03      -1.207155654581e-05      -1.683003589456e-03      -1.543177776536e-01      -2.405208709216e-01       1.412468970129e-01       1.253632587265e-01      -6.857487240828e-03       2.537827923932e-01      -4.395558540011e-03      -4.873637265107e-01      -1.643281868458e-01      -4.225645594828e-01      -7.544716578951e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -7.544716578951e+00       0.000000000000e+00      -5.185350330567e+00      -1.870681153700e-01      -1.596380820400e-01 
