#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:a                      2:tau [Mpc]              3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:eta_prime             14:h_prime               15:phi_prime             16:delta_ur              17:theta_ur              18:shear_ur              19:delta_cdm             20:theta_cdm             21:delta_ncdm[0]         22:theta_ncdm[0]         23:shear_ncdm[0]         24:cs2_ncdm[0]           25:w_p[0]                26:w_theta[0]            27:pi_ncdm[0]            28:k_fss_wdm[0]          29:w_trial_1             30:w_trial_2             31:delta_dcdm            32:theta_dcdm            33:delta_dr              34:theta_dr              35:shear_dr           
       1.945347665099e-04       7.881765886419e+01      -1.831991318923e-03      -1.085378599975e-08       7.481626140599e-07       1.870406535150e-06       3.359062940729e-11       3.740813070300e-07      -1.373993489192e-03      -1.085378599975e-08       5.896271228795e-01       6.627371789444e-01      -3.678383797879e-06       6.926521062046e-05       2.477097790934e-04      -1.831991318923e-03      -1.881527403278e-08       2.413290370098e-04      -1.373993489192e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -1.373993489192e-03       0.000000000000e+00      -1.831991318923e-03      -1.881527403278e-08       2.413290370098e-04 
       2.966343112788e-04       1.138176588643e+02      -3.729939095428e-03      -3.018661786811e-08       2.379768584170e-06       5.949421460425e-06       2.485027333272e-10       1.189884292085e-06      -2.797454701153e-03      -3.015628884738e-08       5.976552412657e-01       6.633789830161e-01      -4.668450870172e-06       9.331816735765e-05      -1.008602046890e-04      -3.729216180224e-03      -5.552086730575e-08       5.032051854014e-04      -2.798137858177e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -2.798137858177e-03       0.000000000000e+00      -3.232353123464e-03      -2.427022513536e-08       2.369246678285e-04 
       4.542477878589e-04       1.623636013811e+02      -7.255801146062e-03      -7.811962904598e-08       7.880394039228e-06       1.970098509807e-05       1.973110703770e-09       3.940197019614e-06      -5.441856814626e-03      -7.786197785775e-08       6.004405899368e-01       6.567362000295e-01      -5.621372865408e-06       1.242847215763e-04      -1.488088524102e-04      -7.251924783521e-03      -1.571323401944e-07       1.006138990021e-03      -5.445059211166e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -5.445059211166e-03       0.000000000000e+00      -6.125970312052e-03      -5.269837862768e-08       3.876079380821e-04 
       6.938190383574e-04       2.272176402829e+02      -1.344000320067e-02      -1.833042002594e-07       2.829923789802e-05       7.074809474505e-05       1.988393938282e-08       1.414961894901e-05      -1.008006248188e-02      -1.813791908422e-07       6.009113524613e-01       6.476282252442e-01      -6.361794337596e-06       1.616322390911e-04      -1.279512969961e-04      -1.342345044938e-02      -4.161658937452e-07       1.925942279669e-03      -1.009143028838e-02       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -1.009143028838e-02       0.000000000000e+00      -1.127128075022e-02      -1.289358567128e-07       7.035454453769e-04 
       6.943740956701e-04       2.273581474179e+02      -1.345511275761e-02      -1.835848057421e-07       2.840202828405e-05       7.100507071012e-05       2.003204735699e-08       1.420101414202e-05      -1.009139492081e-02      -1.816491700877e-07       6.009090951860e-01       6.476101835910e-01      -6.362923573740e-06       1.617091448331e-04      -1.278829108924e-04      -1.343851633808e-02      -4.169084506645e-07       1.928235029188e-03      -1.010278823134e-02       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -1.010278823134e-02       0.000000000000e+00      -1.128386025411e-02      -1.291532183222e-07       7.043384720406e-04 
       6.949314104050e-04       2.274991863455e+02      -1.347028669253e-02      -1.838667246248e-07       2.850600153182e-05       7.126500382955e-05       2.018253924049e-08       1.425300076591e-05      -1.010277564576e-02      -1.819203257671e-07       6.009067967890e-01       6.475920828895e-01      -6.364055425332e-06       1.617863263703e-04      -1.278141225836e-04      -1.345364635240e-02      -4.176546744384e-07       1.930537739754e-03      -1.011419459501e-02       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -1.011419459501e-02       0.000000000000e+00      -1.129649333987e-02      -1.293716430016e-07       7.051349371572e-04 
       6.954910117489e-04       2.276407639998e+02      -1.348552583200e-02      -1.841499739818e-07       2.861117537726e-05       7.152793844316e-05       2.033546493726e-08       1.430558768863e-05      -1.011420527669e-02      -1.821926724622e-07       6.009044566882e-01       6.475739224046e-01      -6.365189932391e-06       1.618637873251e-04      -1.277449272734e-04      -1.346884131563e-02      -4.184046119585e-07       1.932850539073e-03      -1.012565000108e-02       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -1.012565000108e-02       0.000000000000e+00      -1.130918069526e-02      -1.295911443209e-07       7.059348846993e-04 
       6.960529293867e-04       2.277828874313e+02      -1.350083101680e-02      -1.844345711921e-07       2.871756786201e-05       7.179391965502e-05       2.049087563098e-08       1.435878393100e-05      -1.012568444426e-02      -1.824662250014e-07       6.009020741900e-01       6.475557012794e-01      -6.366327134084e-06       1.619415314127e-04      -1.276753185280e-04      -1.348410206523e-02      -4.191583109506e-07       1.935173557060e-03      -1.013715508193e-02       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -1.013715508193e-02       0.000000000000e+00      -1.132192301996e-02      -1.298117360921e-07       7.067383594054e-04 
       6.966171935122e-04       2.279255638093e+02      -1.351620310229e-02      -1.847205339460e-07       2.882519734133e-05       7.206299335332e-05       2.064882382650e-08       1.441259867066e-05      -1.013721379001e-02      -1.827409984651e-07       6.008996484845e-01       6.475374185294e-01      -6.367467068671e-06       1.620195624438e-04      -1.276052882069e-04      -1.349942945317e-02      -4.199158199938e-07       1.937506925890e-03      -1.014871048090e-02       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -1.014871048090e-02       0.000000000000e+00      -1.133472102590e-02      -1.300334323742e-07       7.075454067981e-04 
       6.971838348397e-04       2.280688004250e+02      -1.353164295870e-02      -1.850078802522e-07       2.893408249170e-05       7.233520622926e-05       2.080936339252e-08       1.446704124585e-05      -1.014879396667e-02      -1.830170081904e-07       6.008971786404e-01       6.475190730368e-01      -6.368609773434e-06       1.620978843272e-04      -1.275348263897e-04      -1.351482434622e-02      -4.206771885398e-07       1.939850780048e-03      -1.016031685253e-02       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -1.016031685253e-02       0.000000000000e+00      -1.134757543746e-02      -1.302562474796e-07       7.083560732019e-04 
