#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:a                      2:tau [Mpc]              3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:eta_prime             14:h_prime               15:phi_prime             16:delta_ur              17:theta_ur              18:shear_ur              19:delta_cdm             20:theta_cdm             21:delta_ncdm[0]         22:theta_ncdm[0]         23:shear_ncdm[0]         24:cs2_ncdm[0]           25:w_p[0]                26:w_theta[0]            27:pi_ncdm[0]            28:k_fss_wdm[0]          29:w_trial_1             30:w_trial_2             31:delta_dcdm            32:theta_dcdm            33:delta_dr              34:theta_dr              35:shear_dr           
       1.549231428497e-05       7.089583625982e+00      -1.658031139987e-03      -9.718446640220e-08       3.991799167048e-08       9.979497917620e-08       1.056990376485e-13       1.995899583524e-08      -1.243523354990e-03      -9.718446640220e-08       6.011709665895e-01       6.967201565651e-01      -4.561481742933e-05       6.980519079660e-04      -4.029916993039e-04      -1.658031139987e-03      -1.457166786168e-07       2.008762714777e-04      -1.243523354990e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -1.243523354990e-03       0.000000000000e+00      -1.658031139987e-03      -1.457166786168e-07       2.008762714777e-04 
       2.328679305966e-05       1.058958362602e+01      -3.679853940047e-03      -3.209676640336e-07       1.343180800108e-07       3.357952000269e-07       8.035697792574e-13       6.715904000538e-08      -2.759890457017e-03      -3.209660564738e-07       6.011350654670e-01       6.952948762282e-01      -6.705032173574e-05       1.034862026668e-03      -4.117076999051e-04      -3.679395367598e-03      -4.840996348603e-07       4.471879116443e-04      -2.760571966164e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -2.760571966164e-03       0.000000000000e+00      -3.199212451290e-03      -2.161745413495e-07       2.137623239082e-04 
       3.503669179425e-05       1.578567249335e+01      -8.113368472123e-03      -1.048857660552e-06       4.474514074460e-07       1.118628518615e-06       6.059849198526e-12       2.237257037230e-07      -6.085026391145e-03      -1.048842104574e-06       6.009839409090e-01       6.931178222786e-01      -9.759736111449e-05       1.525589153516e-03      -4.263651954044e-04      -8.110625642182e-03      -1.595889651505e-06       9.903143110466e-04      -6.089027073481e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -6.089027073481e-03       0.000000000000e+00      -6.910851456360e-03      -5.774398566525e-07       4.037790104185e-04 
       5.278754631112e-05       2.346311884638e+01      -1.771573446009e-02      -3.374898754262e-06       1.503275408573e-06       3.758188521433e-06       4.621375488632e-11       7.516377042866e-07      -1.328680130865e-02      -3.374775949116e-06       6.005840901471e-01       6.897615685660e-01      -1.400643936030e-04       2.231016667704e-03      -4.477024264596e-04      -1.770170580883e-02      -5.202102363500e-06       2.175080684716e-03      -1.330667269445e-02       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -1.330667269445e-02       0.000000000000e+00      -1.504618388562e-02      -1.810201004151e-06       8.643878471106e-04 
       7.968216081133e-05       3.473113229498e+01      -3.814270012004e-02      -1.061933485731e-05       4.964709695998e-06       1.241177423999e-05       3.477649564112e-10       2.482354847999e-06      -2.860703026940e-02      -1.061842284680e-05       5.996504331415e-01       6.845544348661e-01      -1.969750021373e-04       3.225883632640e-03      -4.758363638895e-04      -3.807360410596e-02      -1.668117292697e-05       4.715998824882e-03      -2.870080678337e-02       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -2.870080678337e-02       0.000000000000e+00      -3.238742032108e-02      -5.736192031229e-06       1.863249283624e-03 
       1.205825078966e-04       5.111815037422e+01      -8.049009949482e-02      -3.236675913056e-05       1.651666048136e-05       4.129165120341e-05       2.649479834262e-09       8.258330240682e-06      -6.036762945396e-02      -3.236021438144e-05       5.976351916588e-01       6.764684460562e-01      -2.692155775932e-04       4.592369378396e-03      -5.096691129207e-04      -8.015741417910e-02      -5.223891817656e-05       1.001916931909e-02      -6.079292882741e-02       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -6.079292882741e-02       0.000000000000e+00      -6.840875525388e-02      -1.779523430757e-05       3.951158961991e-03 
       1.830607727882e-04       7.466445552285e+01      -1.651378822497e-01      -9.436288097204e-05       5.672205318176e-05       1.418051329544e-04       2.247731332407e-08       2.836102659088e-05      -1.238539794505e-01      -9.431428055069e-05       5.935636663955e-01       6.640219492934e-01      -3.537816087646e-04       6.404183928780e-03      -5.449822669836e-04      -1.635799709303e-01      -1.581672716355e-04       2.060449187886e-02      -1.256915720546e-01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -1.256915720546e-01       0.000000000000e+00      -1.407654428870e-01      -5.335957702236e-05       8.152107045930e-03 
       2.789728247592e-04       1.079930447025e+02      -3.259923439601e-01      -2.590107111650e-04       1.792677846655e-04       4.481694616638e-04       1.655689122140e-07       8.963389233277e-05      -2.444999209473e-01      -2.586883828239e-04       5.859913124962e-01       6.453143828491e-01      -4.410530263550e-04       8.700435979569e-03      -5.737520363620e-04      -3.189882233301e-01      -4.566747377338e-04       4.018914987937e-02      -2.519517476657e-01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -2.519517476657e-01       0.000000000000e+00      -2.798391969736e-01      -1.528925325598e-04       1.615943810178e-02 
       4.269345447257e-04       1.543457521649e+02      -6.113524221324e-01      -6.569230901648e-04       5.414641076012e-04       1.353660269003e-03       1.188567007699e-06       2.707320538006e-04      -4.585649827899e-01      -6.548996283009e-04       5.729858538761e-01       6.184114068980e-01      -5.131786045756e-04       1.145653224304e-02      -5.816484696320e-04      -5.817122978576e-01      -1.233695145719e-03       7.174907538261e-02      -4.864247405343e-01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -4.864247405343e-01       0.000000000000e+00      -5.325021351416e-01      -4.135527196374e-04       3.024414662521e-02 
       6.224882635319e-04       2.088204332198e+02      -1.006145609327e+00      -1.372066450152e-03       1.410917801587e-03       3.527294503968e-03       7.054589007935e-06       7.054589007937e-04      -7.549433481823e-01      -1.362088314271e-03       5.555979003203e-01       5.872307363418e-01      -5.452972824382e-04       1.417671590378e-02      -5.583825127340e-04      -9.083031595290e-01      -2.736142348844e-03       1.052989250146e-01      -8.366351721849e-01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.366351721849e-01       0.000000000000e+00      -8.966700806995e-01      -9.352738342169e-04       4.903576288307e-02 
       6.224882635319e-04       2.088204332198e+02      -1.006145609327e+00      -1.372066450152e-03       1.410917801587e-03       3.527294503968e-03       7.054589007935e-06       7.054589007937e-04      -7.549433481823e-01      -1.362088314271e-03       5.556148961559e-01       5.872307363418e-01      -5.452972824382e-04       1.417671590378e-02      -5.584863924521e-04      -9.083031595290e-01      -2.736142348844e-03       1.052989250146e-01      -8.366351721849e-01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.366351721849e-01       0.000000000000e+00      -8.966700806995e-01      -9.352738342169e-04       4.903576288307e-02 
       6.243915952588e-04       2.093204332198e+02      -1.009957710385e+00      -1.379749891208e-03       1.424709821598e-03       3.530557835658e-03       7.065547138747e-06       7.061210995371e-04      -7.578074287083e-01      -1.369695778586e-03       5.554482709485e-01       5.869515772763e-01      -5.453906186790e-04       1.419950293171e-02      -5.581475846102e-04      -9.112028904186e-01      -2.752785543491e-03       1.055519797429e-01      -8.401822002877e-01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.401822002877e-01       0.000000000000e+00      -9.002782524615e-01      -9.412179035919e-04       4.921139995454e-02 
       6.263096372017e-04       2.098237742283e+02      -1.013797764535e+00      -1.387516064708e-03       1.436990408498e-03       3.539076848233e-03       7.095862529850e-06       7.078307868720e-04      -7.606925589886e-01      -1.377343902931e-03       5.552811808313e-01       5.866707222521e-01      -5.454814206120e-04       1.422240587005e-02      -5.578091618384e-04      -9.141184398097e-01      -2.769589282563e-03       1.058053706674e-01      -8.437586791143e-01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.437586791143e-01       0.000000000000e+00      -9.039147603376e-01      -9.472233627786e-04       4.938819001792e-02 
       6.282426962936e-04       2.103305262374e+02      -1.017666326299e+00      -1.395356864906e-03       1.448479951220e-03       3.551399297238e-03       7.141941826633e-06       7.102989711500e-04      -7.635991673584e-01      -1.385056503946e-03       5.551132902736e-01       5.863881376718e-01      -5.455696447814e-04       1.424542718646e-02      -5.574691346136e-04      -9.170500954041e-01      -2.786556783733e-03       1.060590967830e-01      -8.473652127895e-01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.473652127895e-01       0.000000000000e+00      -9.075801779330e-01      -9.532914917551e-04       4.956615510397e-02 
       6.301911025082e-04       2.108407649055e+02      -1.021563997322e+00      -1.403272053628e-03       1.459616579318e-03       3.566590032573e-03       7.200782326184e-06       7.133395037003e-04      -7.665277099709e-01      -1.392839140992e-03       5.549443808004e-01       5.861037804491e-01      -5.456552419286e-04       1.426856978320e-02      -5.571261789156e-04      -9.199981733872e-01      -2.803691483903e-03       1.063131586255e-01      -8.510024495420e-01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.510024495420e-01       0.000000000000e+00      -9.112751227203e-01      -9.594236545609e-04       4.974531917200e-02 
       6.321552117939e-04       2.113545722899e+02      -1.025491429537e+00      -1.411262966429e-03       1.470668266477e-03       3.584038098973e-03       7.270050996621e-06       7.168307257909e-04      -7.694786794715e-01      -1.400694068384e-03       5.547743161331e-01       5.858176143097e-01      -5.457381766075e-04       1.429183655850e-02      -5.567795972829e-04      -9.229630222693e-01      -2.820997066882e-03       1.065675585117e-01      -8.546710872694e-01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.546710872694e-01       0.000000000000e+00      -9.150002603367e-01      -9.656213082937e-04       4.992570828029e-02 
       6.341354093884e-04       2.118720376726e+02      -1.029449331162e+00      -1.419331348785e-03       1.481801217799e-03       3.603338404921e-03       7.348021354272e-06       7.206919402440e-04      -7.724526106944e-01      -1.408623021234e-03       5.546029923691e-01       5.855295884515e-01      -5.458184002318e-04       1.431523101511e-02      -5.564287882537e-04      -9.259450272837e-01      -2.838477494715e-03       1.068223008251e-01      -8.583718798833e-01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.583718798833e-01       0.000000000000e+00      -9.187563124072e-01      -9.718860164059e-04       5.010735095769e-02 
       6.361321135334e-04       2.123932584848e+02      -1.033438473824e+00      -1.427479150695e-03       1.493121463116e-03       3.624218965924e-03       7.433466963417e-06       7.248689437220e-04      -7.754500862608e-01      -1.416627744364e-03       5.544303393357e-01       5.852396586962e-01      -5.458958776159e-04       1.433875669515e-02      -5.560734853935e-04      -9.289446152761e-01      -2.856137042886e-03       1.070773923285e-01      -8.621056444095e-01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.621056444095e-01       0.000000000000e+00      -9.225440619541e-01      -9.782194601185e-04       5.029027843183e-02 
       6.381457795873e-04       2.129183413275e+02      -1.037459700489e+00      -1.435708500358e-03       1.504700143677e-03       3.646495996397e-03       7.525554952602e-06       7.293250957828e-04      -7.784717426045e-01      -1.424710108180e-03       5.542562905679e-01       5.849477667030e-01      -5.459705612775e-04       1.436241778427e-02      -5.557133585117e-04      -9.319622600510e-01      -2.873980339421e-03       1.073328424918e-01      -8.658732688325e-01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.658732688325e-01       0.000000000000e+00      -9.263643627067e-01      -9.846234546358e-04       5.047452505440e-02 
       6.401769044919e-04       2.134474030777e+02      -1.041513934163e+00      -1.444021719674e-03       1.516588899470e-03       3.670046059896e-03       7.623755739050e-06       7.340357795988e-04      -7.815182765394e-01      -1.432872133844e-03       5.540807914200e-01       5.846538557829e-01      -5.460424116453e-04       1.438621869895e-02      -5.553482386113e-04      -9.349984882077e-01      -2.892012407561e-03       1.075886638580e-01      -8.696757206899e-01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.696757206899e-01       0.000000000000e+00      -9.302181463233e-01      -9.910999637918e-04       5.066012862256e-02 
       6.422260314883e-04       2.139805720493e+02      -1.045602186931e+00      -1.452421340916e-03       1.528829176657e-03       3.694788683719e-03       7.727772369314e-06       7.389849434133e-04      -7.845904520865e-01      -1.441116021081e-03       5.539037842213e-01       5.843578589061e-01      -5.461113825834e-04       1.441016445195e-02      -5.549779078041e-04      -9.380538850997e-01      -2.910238711095e-03       1.078448723787e-01      -8.735140560733e-01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.735140560733e-01       0.000000000000e+00      -9.341064321868e-01      -9.976511179990e-04       5.084713080656e-02 
       6.442937548680e-04       2.145179891549e+02      -1.049725569169e+00      -1.460910127549e-03       1.541457833774e-03       3.720675397786e-03       7.837487583899e-06       7.441629195052e-04      -7.876891074285e-01      -1.449444168007e-03       5.537252106899e-01       5.840597036781e-01      -5.461774280424e-04       1.443426054255e-02      -5.546021746463e-04      -9.411291008430e-01      -2.928665200491e-03       1.081014877567e-01      -8.773894288328e-01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00                     -nan                     -nan       0.000000000000e+00                     -nan                     -nan                     -nan      -8.773894288328e-01       0.000000000000e+00      -9.380303359780e-01      -1.004279231196e-03       5.103557753816e-02 
