# Matter power spectrum P(k) at redshift z=0
# for k=1.17251e-05 to 1.58917 h/Mpc,
# number of wavenumbers equal to 565
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.172505749431e-05                     -nan 
       2.610116650071e-05                     -nan 
       4.054042571039e-05                     -nan 
       5.509125601746e-05                     -nan 
       6.980307609319e-05                     -nan 
       8.472685074323e-05                     -nan 
       9.991566090648e-05                     -nan 
       1.154253045510e-04                     -nan 
       1.313149377724e-04                     -nan 
       1.476477654130e-04                     -nan 
       1.644917903914e-04                     -nan 
       1.819206305265e-04                     -nan 
       2.000144107433e-04                     -nan 
       2.188607368894e-04                     -nan 
       2.385557545793e-04                     -nan 
       2.592052920020e-04                     -nan 
       2.809260787993e-04                     -nan 
       3.038470231023e-04                     -nan 
       3.281105145700e-04                     -nan 
       3.538737016901e-04                     -nan 
       3.813096655715e-04                     -nan 
       4.106083792437e-04                     -nan 
       4.419773011820e-04                     -nan 
       4.756414061909e-04                     -nan 
       5.118424104987e-04                     -nan 
       5.508369096158e-04                     -nan 
       5.928931310872e-04                     -nan 
       6.382860288677e-04                     -nan 
       6.872905339116e-04                     -nan 
       7.401729461815e-04                     -nan 
       7.971807132523e-04                     -nan 
       8.585311709618e-04                     -nan 
       9.244001673118e-04                     -nan 
       9.949117626218e-04                     -nan 
       1.070130293157e-03                     -nan 
       1.150055923507e-03                     -nan 
       1.234624384955e-03                     -nan 
       1.323710984206e-03                     -nan 
       1.417138322924e-03                     -nan 
       1.514686662488e-03                     -nan 
       1.616105617425e-03                     -nan 
       1.721125890605e-03                     -nan 
       1.829470012655e-03                     -nan 
       1.940861409766e-03                     -nan 
       2.055031491992e-03                     -nan 
       2.171724755026e-03                     -nan 
       2.290702091023e-03                     -nan 
       2.411742610375e-03                     -nan 
       2.534644307163e-03                     -nan 
       2.659223882449e-03                     -nan 
       2.785315994833e-03                     -nan 
       2.912772153749e-03                     -nan 
       3.041459418409e-03                     -nan 
       3.171259019468e-03                     -nan 
       3.302064983375e-03                     -nan 
       3.433782810878e-03                     -nan 
       3.566328240239e-03                     -nan 
       3.699626110913e-03                     -nan 
       3.833609333402e-03                     -nan 
       3.968217964475e-03                     -nan 
       4.103398382905e-03                     -nan 
       4.239102558629e-03                     -nan 
       4.375287407180e-03                     -nan 
       4.511914220899e-03                     -nan 
       4.648948168665e-03                     -nan 
       4.786357856311e-03                     -nan 
       4.924114940550e-03                     -nan 
       5.062193789876e-03                     -nan 
       5.200571186635e-03                     -nan 
       5.339226065087e-03                     -nan 
       5.478139280912e-03                     -nan 
       5.617293408188e-03                     -nan 
       5.756672560338e-03                     -nan 
       5.896262232017e-03                     -nan 
       6.036049159314e-03                     -nan 
       6.176021195943e-03                     -nan 
       6.316167203458e-03                     -nan 
       6.456476953737e-03                     -nan 
       6.596941042249e-03                     -nan 
       6.737550810770e-03                     -nan 
       6.878298278441e-03                     -nan 
       7.019176080145e-03                     -nan 
       7.160177411362e-03                     -nan 
       7.301295978734e-03                     -nan 
       7.442525955692e-03                     -nan 
       7.583861942555e-03                     -nan 
       7.725298930619e-03                     -nan 
       7.866832269759e-03                     -nan 
       8.008457639199e-03                     -nan 
       8.150171021064e-03                     -nan 
       8.291968676451e-03                     -nan 
       8.433847123727e-03                     -nan 
       8.575803118828e-03                     -nan 
       8.717833637364e-03                     -nan 
       8.859935858326e-03                     -nan 
       9.002107149244e-03                     -nan 
       9.144345052650e-03                     -nan 
       9.286647273717e-03                     -nan 
       9.429011668960e-03                     -nan 
       9.571436235892e-03                     -nan 
       9.713919103553e-03                     -nan 
       9.856458523821e-03                     -nan 
       9.999052863441e-03                     -nan 
       1.014170059670e-02                     -nan 
       1.028440029867e-02                     -nan 
       1.042715063906e-02                     -nan 
       1.056995037643e-02                     -nan 
