# Matter power spectrum P(k) at redshift z=0
# for k=9.72467e-06 to 1.74233 h/Mpc,
# number of wavenumbers equal to 562
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.724671046704e-06       7.412551508851e+01 
       2.223605267943e-05       1.644976637456e+02 
       3.478787736407e-05       2.531744153717e+02 
       4.741199962158e-05       3.412572415704e+02 
       6.014076237209e-05       4.289752388940e+02 
       7.300726907391e-05       5.160451070606e+02 
       8.604566398025e-05       6.042046608840e+02 
       9.929142404996e-05       6.940399363858e+02 
       1.127816660766e-04       7.852068742735e+02 
       1.265554726306e-04       8.765367675954e+02 
       1.406542404248e-04       9.700761339016e+02 
       1.551220546846e-04       1.064357323178e+03 
       1.700060929955e-04       1.163296210245e+03 
       1.853570618628e-04       1.262891044282e+03 
       2.012296687799e-04       1.365768915704e+03 
       2.176831318796e-04       1.473332359106e+03 
       2.347817281145e-04       1.583417313169e+03 
       2.525953792310e-04       1.698622006376e+03 
       2.712002723745e-04       1.817549050816e+03 
       2.906795087666e-04       1.942379858362e+03 
       3.111237692486e-04       2.072748900623e+03 
       3.326319792951e-04       2.209268183057e+03 
       3.553119480648e-04       2.352859506310e+03 
       3.792809459052e-04       2.503829879166e+03 
       4.046661723518e-04       2.663101776621e+03 
       4.316050521925e-04       2.831764555967e+03 
       4.602452811996e-04       3.010019797823e+03 
       4.907445269698e-04       3.198528980948e+03 
       5.232696762117e-04       3.398384734421e+03 
       5.579955112846e-04       3.611026103043e+03 
       5.951027005862e-04       3.837377360516e+03 
       6.347750053266e-04       4.077194709996e+03 
       6.771956452699e-04       4.333061133788e+03 
       7.225428326733e-04       4.602880272974e+03 
       7.709845775154e-04       4.891101641673e+03 
       8.226729821866e-04       5.193922054087e+03 
       8.777383654580e-04       5.514193120217e+03 
       9.362836605429e-04       5.853959487469e+03 
       9.983795923200e-04       6.211541887334e+03 
       1.064061128787e-03       6.584880617611e+03 
       1.133325608202e-03       6.972852048704e+03 
       1.206132772796e-03       7.376293405858e+03 
       1.282406720805e-03       7.796538885810e+03 
       1.362039564633e-03       8.226305529303e+03 
       1.444896399944e-03       8.671320323842e+03 
       1.530821082187e-03       9.117199753396e+03 
       1.619642285670e-03       9.585268101555e+03 
       1.711179376119e-03       1.005493257091e+04 
       1.805247735389e-03       1.053076821386e+04 
       1.901663306435e-03       1.101231516787e+04 
       2.000246251275e-03       1.149691205729e+04 
       2.100823717009e-03       1.198206081493e+04 
