# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)rho_lambda         16:(.)rho_ur             17:(.)rho_crit           18:(.)rho_dcdm           19:(.)rho_dr             20:gr.fac. D             21:gr.fac. f          
       9.999999999990e+11       7.559518500140e-22       4.635512595996e-07       2.157256295375e+18       1.701959223542e+04       1.701959223542e-08       1.701959223542e+16       2.676317461339e-07       2.751560535470e+36       2.492336125560e+27       1.112650056054e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.902194177205e+36       4.653754723936e+36       8.757355845918e+27       2.643195553229e+03       1.022354021667e-17       2.000000000000e+12 
       9.930486593833e+11       7.665722175548e-22       4.667963366956e-07       2.127368889860e+18       1.701959223542e+04       1.713872938107e-08       1.690128325265e+16       2.695051683562e-07       2.675846458098e+36       2.440721353921e+27       1.089607747286e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.849851924417e+36       4.525698393543e+36       8.575996310375e+27       2.624821800558e+03       1.426309351508e-07       1.433565615450e+02 
       9.861456399039e+11       7.773417906391e-22       4.700632416643e-07       2.097895555222e+18       1.701959223542e+04       1.725870048673e-08       1.678379667592e+16       2.713917045340e-07       2.602215788101e+36       2.390175492941e+27       1.067042630777e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.798949961721e+36       4.401165760622e+36       8.398392620970e+27       2.606575770103e+03       2.852618702902e-07       7.167828077477e+01 
       9.792906056642e+11       7.882626654556e-22       4.733556124847e-07       2.068830554776e+18       1.701959223541e+04       1.737951139014e-08       1.666712678839e+16       2.732914464651e-07       2.530611196823e+36       2.340676406129e+27       1.044944824165e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.749448656976e+36       4.280059864375e+36       8.224466996404e+27       2.588456574021e+03       4.278928054284e-07       4.778552051689e+01 
       9.724832231025e+11       7.993369676424e-22       4.766698111780e-07       2.040168231312e+18       1.701959223541e+04       1.750116796987e-08       1.655126791300e+16       2.752044865897e-07       2.460976933109e+36       2.292202415424e+27       1.023304649743e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.701309468591e+36       4.162286412056e+36       8.054143266182e+27       2.570463330644e+03       5.705237405655e-07       3.583914038774e+01 
       9.657231609756e+11       8.105668527004e-22       4.800058377441e-07       2.011903005999e+18       1.701959223541e+04       1.762367614565e-08       1.643621441211e+16       2.771309179951e-07       2.393258779893e+36       2.244732291708e+27       1.002112630227e+25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.654494915511e+36       4.047753705546e+36       7.887346837254e+27       2.552595164432e+03       7.131546757015e-07       2.867131231019e+01 
       9.590100903432e+11       8.219545064135e-22       4.833636921830e-07       1.984029377295e+18       1.701959223540e+04       1.774704187867e-08       1.632196068730e+16       2.790708344203e-07       2.327404011991e+36       2.198245245503e+27       9.813594845996e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.608968548045e+36       3.936372569968e+36       7.724004661346e+27       2.534851205931e+03       8.557856108363e-07       2.389276025846e+01 
       9.523436845513e+11       8.335021452735e-22       4.867470124736e-07       1.956541919880e+18       1.701959223540e+04       1.787127117182e-08       1.620850117904e+16       2.810243302605e-07       2.263361355045e+36       2.152720917869e+27       9.610361240489e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.564694919475e+36       3.828056284246e+36       7.564045202970e+27       2.517230591730e+03       9.984165459701e-07       2.047950879292e+01 
       9.457236192167e+11       8.452120169118e-22       4.901557986159e-07       1.929435283598e+18       1.701959223540e+04       1.799637007002e-08       1.609583036647e+16       2.829915005715e-07       2.201080945602e+36       2.108139371489e+27       9.411336479860e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.521639558464e+36       3.722720513591e+36       7.407398408096e+27       2.499732464422e+03       1.141047481103e-06       1.791957019376e+01 
       9.391495722112e+11       8.570864005366e-22       4.935864126310e-07       1.902704192415e+18       1.701959223539e+04       1.812234466050e-08       1.598394276710e+16       2.849724410747e-07       2.140514292290e+36       2.064481081932e+27       9.216433401481e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.479768942217e+36       3.620283243835e+36       7.253995673468e+27       2.482355972557e+03       1.283678416234e-06       1.592850683886e+01 
       9.326212236457e+11       8.691276073769e-22       4.970424924977e-07       1.876343443396e+18       1.701959223539e+04       1.824920107312e-08       1.587283293654e+16       2.869672481614e-07       2.081614238066e+36       2.021726929109e+27       9.025566647810e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.439050470376e+36       3.520664717576e+36       7.103769816563e+27       2.465100270608e+03       1.426309351365e-06       1.433565615494e+01 
       9.261382558546e+11       8.813379811319e-22       5.005204002373e-07       1.850347905686e+18       1.701959223539e+04       1.837694548063e-08       1.576249546826e+16       2.889760188977e-07       2.024334923492e+36       1.979858188897e+27       8.838652629005e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.399452439640e+36       3.423787372077e+36       6.956655046168e+27       2.447964518921e+03       1.568940286495e-06       1.303241468627e+01 
       9.197003533809e+11       8.937198984277e-22       5.040237738285e-07       1.824712519516e+18       1.701959223538e+04       1.850558409899e-08       1.565292499330e+16       2.909988510291e-07       1.968631751039e+36       1.938856524936e+27       8.655609486323e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.360944019081e+36       3.329575778879e+36       6.812586933566e+27       2.430947883682e+03       1.711571221623e-06       1.194638012905e+01 
       9.133072029602e+11       9.062757692795e-22       5.075526132714e-07       1.799432295217e+18       1.701959223538e+04       1.863512318768e-08       1.554411618003e+16       2.930358429854e-07       1.914461350354e+36       1.898703980603e+27       8.476357056263e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.323495226139e+36       3.237956585072e+36       6.671502384319e+27       2.414049536872e+03       1.854202156751e-06       1.102742781140e+01 
       9.069584935056e+11       9.190080375608e-22       5.111069185659e-07       1.774502312249e+18       1.701959223538e+04       1.876556904999e-08       1.543606373389e+16       2.950870938853e-07       1.861781544499e+36       1.859382971144e+27       8.300816835462e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.287076903278e+36       3.148858456178e+36       6.533339610636e+27       2.397268656227e+03       1.996833091877e-06       1.023975439627e+01 
       9.006539160929e+11       9.319191814790e-22       5.146830517333e-07       1.749917718242e+18       1.701959223537e+04       1.889692803334e-08       1.532876239711e+16       2.971527035416e-07       1.810551317109e+36       1.820876275975e+27       8.128911946316e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.251660695282e+36       3.062212020618e+36       6.398038104317e+27       2.380604425200e+03       2.139464027003e-06       9.557104103165e+00 
       8.943931639453e+11       9.450117140580e-22       5.182846507523e-07       1.725673728053e+18       1.701959223537e+04       1.902920652957e-08       1.522220694847e+16       2.992327724654e-07       1.760730780456e+36       1.783167031141e+27       7.960567103307e+24       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.520282070399e-08       1.217219027179e+36       2.977949815692e+36       6.265538610245e+27       2.364056032920e+03       2.282094962128e-06       8.959785096695e+00 
