# Matter power spectrum P(k) at redshift z=0
# for k=9.66168e-06 to 1.70248 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.661684572504e-06       7.187620233063e+01 
       2.218618660136e-05       1.603658637056e+02 
       3.475107403719e-05       2.469197282423e+02 
       4.738830110471e-05       3.327866062044e+02 
       6.013031143424e-05       4.185657165037e+02 
       7.301031161863e-05       5.042398568678e+02 
       8.606255292714e-05       5.905459047847e+02 
       9.932262473852e-05       6.776814314983e+02 
       1.128277632837e-04       7.665915950734e+02 
       1.266171793190e-04       8.560951337666e+02 
       1.407324083671e-04       9.477771696723e+02 
       1.552176871310e-04       1.040526008306e+03 
       1.701203595810e-04       1.136815718666e+03 
       1.854913159681e-04       1.235538472793e+03 
       2.013854675798e-04       1.336228754059e+03 
       2.178622593191e-04       1.441345403987e+03 
       2.349862210503e-04       1.548999389357e+03 
       2.528275569501e-04       1.661367169894e+03 
       2.714627696533e-04       1.778459381170e+03 
       2.909753125395e-04       1.900500328451e+03 
       3.114562588108e-04       2.028135298207e+03 
       3.330049697476e-04       2.162035483746e+03 
       3.557297363979e-04       2.302595219166e+03 
       3.797483586920e-04       2.450487484323e+03 
       4.051886134622e-04       2.606252444475e+03 
       4.321885482273e-04       2.771663524100e+03 
       4.608965214881e-04       2.946246949063e+03 
       4.914708939987e-04       3.131027982180e+03 
       5.240792613387e-04       3.327414699638e+03 
       5.588971096661e-04       3.535674652203e+03 
       5.961057786292e-04       3.757615916190e+03 
       6.358896339407e-04       3.992999535818e+03 
       6.784323930798e-04       4.243484830378e+03 
       7.239126154658e-04       4.508921995035e+03 
       7.724984637308e-04       4.790438634362e+03 
       8.243419591373e-04       5.088936013569e+03 
       8.795730767034e-04       5.403883554671e+03 
       9.382941305568e-04       5.736952853599e+03 
       1.000574959016e-03       6.084453740102e+03 
       1.066449406356e-03       6.452309343747e+03 
       1.135913501171e-03       6.833901826655e+03 
       1.208925557133e-03       7.230440909106e+03 
       1.285408200121e-03       7.642065454329e+03 
       1.365252100606e-03       8.065218683363e+03 
       1.448321007892e-03       8.501408491833e+03 
       1.534457576756e-03       8.944255623816e+03 
       1.623489458713e-03       9.401076134991e+03 
       1.715235188888e-03       9.863263294334e+03 
       1.809509509622e-03       1.033032126030e+04 
       1.906127902633e-03       1.080197197191e+04 
       2.004910226564e-03       1.127707458019e+04 
       2.105683458754e-03       1.175425561145e+04 
       2.208283611705e-03       1.223209296367e+04 
