# Matter power spectrum P(k) at redshift z=0
# for k=1.0432e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 615
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043203858107e-05       5.025462782981e+01 
       2.328336287074e-05       1.092562158571e+02 
       3.617969043499e-05       1.673391511274e+02 
       4.915556018874e-05       2.250819778041e+02 
       6.224607986307e-05       2.828207223614e+02 
       7.548723761814e-05       3.408113066532e+02 
       8.891622357819e-05       3.992752270956e+02 
       1.025717655470e-04       4.584183566525e+02 
       1.164944831948e-04       5.184406531426e+02 
       1.307272650411e-04       5.795420989252e+02 
       1.453156725643e-04       6.419268777765e+02 
       1.603083757138e-04       7.058066697510e+02 
       1.757576239250e-04       7.714034966055e+02 
       1.917197563824e-04       8.389523485869e+02 
       2.082557546339e-04       9.087037223907e+02 
       2.254318396162e-04       9.809261435595e+02 
       2.433201135287e-04       1.055908710160e+03 
       2.619992445935e-04       1.133963666543e+03 
       2.815551892817e-04       1.215428989967e+03 
       3.020819417627e-04       1.300670944941e+03 
       3.236822937690e-04       1.390086527417e+03 
       3.464685793631e-04       1.484105681392e+03 
       3.705633678892e-04       1.583193122457e+03 
       3.961000544162e-04       1.687849545709e+03 
       4.232232802468e-04       1.798611930065e+03 
       4.520890970737e-04       1.916052580374e+03 
       4.828647683773e-04       2.040776479447e+03 
       5.157280831274e-04       2.173416465403e+03 
       5.508660436999e-04       2.314625722650e+03 
       5.884727878050e-04       2.465067100498e+03 
       6.287466203191e-04       2.625398879300e+03 
       6.718860729945e-04       2.796256817701e+03 
       7.180849845625e-04       2.978232655203e+03 
       7.675267028620e-04       3.171849710693e+03 
       8.203776484022e-04       3.377536775686e+03 
       8.767806282067e-04       3.595602074218e+03 
       9.368484213359e-04       3.826209532635e+03 
       1.000658237325e-03       4.069359833470e+03 
       1.068247642349e-03       4.324878594369e+03 
       1.139612436808e-03       4.592413452461e+03 
       1.214706759774e-03       4.871440882614e+03 
       1.293445426622e-03       5.161282384738e+03 
       1.375708232608e-03       5.461128480886e+03 
       1.461345735733e-03       5.770068037791e+03 
       1.477104874446e-03       5.826564317264e+03 
       1.550185908858e-03       6.087119988238e+03 
       1.642041036854e-03       6.411264641256e+03 
       1.736714314152e-03       6.741472346918e+03 
       1.834005737311e-03       7.076728081664e+03 
       1.933717047152e-03       7.416051284177e+03 
       2.035655623465e-03       7.758499607396e+03 
       2.139637352437e-03       8.103203496654e+03 
       2.245488565732e-03       8.449366133973e+03 
       2.353047192901e-03       8.796250897457e+03 
       2.462163282900e-03       9.143189934651e+03 
       2.572699045022e-03       9.489582201996e+03 
       2.684528542637e-03       9.834890229460e+03 
       2.797537151129e-03       1.017863609872e+04 
       2.911620868665e-03       1.052039695622e+04 
       3.026685547352e-03       1.085980029868e+04 
       3.142646094342e-03       1.119651925263e+04 
       3.259425677672e-03       1.153026802477e+04 
       3.376954960156e-03       1.186079771593e+04 
       3.495171375908e-03       1.218789244066e+04 
       3.614018457716e-03       1.251136581077e+04 
       3.733445218924e-03       1.283105772359e+04 
       3.853405590391e-03       1.314683148304e+04 
       3.973857911008e-03       1.345857124128e+04 
       4.094764469009e-03       1.376617973054e+04 
       4.216091090563e-03       1.406957623655e+04 
       4.337806771782e-03       1.436869474632e+04 
       4.459883350251e-03       1.466348231146e+04 
       4.582295212196e-03       1.495389751360e+04 
       4.705019031673e-03       1.523990915647e+04 
       4.828033538359e-03       1.552149534723e+04 
       4.951319310836e-03       1.579864176429e+04 
       5.074858592537e-03       1.607134102866e+04 
       5.198635127795e-03       1.633959187581e+04 
       5.322634015723e-03       1.660339686344e+04 
       5.446841579884e-03       1.686276550366e+04 
       5.571245251950e-03       1.711771179366e+04 
       5.695833467746e-03       1.736825251262e+04 
       5.820595574263e-03       1.761440774694e+04 
       5.945521746401e-03       1.785620052183e+04 
       6.070602912330e-03       1.809365647111e+04 
       6.195830686503e-03       1.832680353517e+04 
       6.321197309463e-03       1.855567169392e+04 
       6.446695593693e-03       1.878029274334e+04 
       6.572318874837e-03       1.900069996214e+04 
       6.698060967708e-03       1.921692795075e+04 
       6.823916126569e-03       1.942901241882e+04 
       6.949879009218e-03       1.963698998617e+04 
       7.075944644481e-03       1.984089802185e+04 
       7.202108402754e-03       2.004077449719e+04 
       7.328365969272e-03       2.023665786356e+04 
       7.454713319827e-03       2.042858695757e+04 
       7.581146698685e-03       2.061660091473e+04 
       7.707662598475e-03       2.080073911115e+04 
       7.834257741866e-03       2.098104110947e+04 
       7.960929064836e-03       2.115754661352e+04 
       8.087673701397e-03       2.133029543367e+04 
       8.214488969622e-03       2.149932744043e+04 
       8.341372358851e-03       2.166468253149e+04 
       8.468321517977e-03       2.182640058311e+04 
       8.595334244689e-03       2.198452140643e+04 
       8.722408475608e-03       2.213908470170e+04 
       8.849542277208e-03       2.229013000509e+04 
       8.976733837483e-03       2.243769665084e+04 
       9.103981458256e-03       2.258182372201e+04 
       9.231283548111e-03       2.272255002478e+04 
       9.358638615860e-03       2.285991405748e+04 
       9.486045264523e-03       2.299395400364e+04 
       9.613502185767e-03       2.312470772789e+04 
       9.741008154760e-03       2.325221278144e+04 
       9.868562025420e-03       2.337650641272e+04 
       9.996162726014e-03       2.349762557899e+04 
       1.012380925508e-02       2.361560695857e+04 
       1.025150067764e-02       2.373048695892e+04 
       1.037923612173e-02       2.384230172011e+04 
       1.050701477512e-02       2.395108711405e+04 
       1.063483588229e-02       2.405687873450e+04 
       1.076269874168e-02       2.415971188240e+04 
       1.089060270304e-02       2.425962153742e+04 
       1.101854716504e-02       2.435664234325e+04 
       1.114653157299e-02       2.445080858118e+04 
       1.127455541681e-02       2.454215414532e+04 
       1.140261822903e-02       2.463071254842e+04 
       1.153071958301e-02       2.471651690083e+04 
       1.165885909127e-02       2.479959993214e+04 
       1.178703640389e-02       2.487999401996e+04 
       1.191525120709e-02       2.495773119742e+04 
       1.204350322185e-02       2.503284321775e+04 
       1.217179220268e-02       2.510536157349e+04 
       1.230011793643e-02       2.517531752824e+04 
       1.242848024122e-02       2.524274216344e+04 
       1.255687896540e-02       2.530766638833e+04 
       1.268531398664e-02       2.537012094708e+04 
       1.281378521107e-02       2.543013644909e+04 
       1.294229257242e-02       2.548774334958e+04 
       1.307083603136e-02       2.554297192699e+04 
       1.319941557473e-02       2.559585216699e+04 
       1.332803121494e-02       2.564641341221e+04 
       1.345668298940e-02       2.569468392353e+04 
       1.358537095993e-02       2.574069101861e+04 
       1.371409521232e-02       2.578446201275e+04 
       1.384285585584e-02       2.582602388901e+04 
       1.397165302285e-02       2.586540548206e+04 
       1.410048686842e-02       2.590263413054e+04 
       1.422935756996e-02       2.593773737509e+04 
       1.435826532698e-02       2.597074239720e+04 
       1.448721036075e-02       2.600167606824e+04 
       1.461619291409e-02       2.603056496723e+04 
       1.474521325118e-02       2.605743541873e+04 
       1.477104874446e-02       2.606257489796e+04 
       1.487427165732e-02       2.608231350561e+04 
       1.500336843884e-02       2.610522507272e+04 
       1.513250392293e-02       2.612619573689e+04 
       1.526167845751e-02       2.614525089585e+04 
       1.539089241124e-02       2.616241572900e+04 
       1.552014617334e-02       2.617771519900e+04 
       1.564944015368e-02       2.619117405599e+04 
       1.577877478266e-02       2.620281684633e+04 
       1.590815051130e-02       2.621266790535e+04 
       1.603756781119e-02       2.622075136998e+04 
       1.616702717463e-02       2.622709118296e+04 
       1.629652911462e-02       2.623171108295e+04 
       1.642607416499e-02       2.623463460841e+04 
       1.655566288046e-02       2.623588509216e+04 
       1.668529583685e-02       2.623548568401e+04 
       1.681497363111e-02       2.623345934096e+04 
       1.694469688158e-02       2.622982883695e+04 
       1.707446622810e-02       2.622461675542e+04 
       1.720428233224e-02       2.621784550549e+04 
       1.733414587748e-02       2.620953730904e+04 
       1.746405756948e-02       2.619971420945e+04 
       1.759401813629e-02       2.618839806566e+04 
       1.772402832860e-02       2.617561056955e+04 
       1.785408892009e-02       2.616137322991e+04 
       1.798420070762e-02       2.614570738711e+04 
       1.811436451163e-02       2.612863420729e+04 
       1.824458117642e-02       2.611017469038e+04 
       1.837485157051e-02       2.609034965116e+04 
       1.850517658700e-02       2.606917974116e+04 
       1.863555714395e-02       2.604668545081e+04 
       1.876599418477e-02       2.602288710628e+04 
       1.889648867862e-02       2.599780487593e+04 
       1.902704162086e-02       2.597145876007e+04 
       1.915765403351e-02       2.594386859507e+04 
       1.928832696567e-02       2.591505405547e+04 
       1.941906149404e-02       2.588503465197e+04 
       1.954985872340e-02       2.585382973854e+04 
       1.968071978714e-02       2.582145850778e+04 
       1.981164584780e-02       2.578794000024e+04 
       1.994263809763e-02       2.575329309150e+04 
       2.007369775914e-02       2.571753650117e+04 
       2.020482608573e-02       2.568068880073e+04 
       2.033602436230e-02       2.564276839596e+04 
       2.046729390589e-02       2.560379354644e+04 
       2.059863606630e-02       2.556378234161e+04 
       2.073005222684e-02       2.552275273668e+04 
       2.086154380497e-02       2.548072252060e+04 
       2.099311225309e-02       2.543770932824e+04 
       2.112475905921e-02       2.539373065842e+04 
       2.125648574781e-02       2.534880383411e+04 
       2.138829388057e-02       2.530294603423e+04 
       2.152018505723e-02       2.525617429970e+04 
       2.165216091643e-02       2.520850550273e+04 
       2.178422313659e-02       2.515995637146e+04 
       2.191637343682e-02       2.511054348684e+04 
       2.204861357783e-02       2.506028326862e+04 
       2.218094536292e-02       2.500919199271e+04 
       2.231337063894e-02       2.495728578166e+04 
       2.244589129737e-02       2.490458061417e+04 
       2.257850927531e-02       2.485109230888e+04 
       2.271122655660e-02       2.479683654376e+04 
       2.284404517295e-02       2.474182883641e+04 
       2.297696720506e-02       2.468608456831e+04 
       2.310999478388e-02       2.462961895776e+04 
       2.324313009177e-02       2.457244708030e+04 
       2.337637536382e-02       2.451458385629e+04 
       2.350973288912e-02       2.445604406886e+04 
       2.364320501216e-02       2.439684233752e+04 
       2.377679413419e-02       2.433699313872e+04 
       2.391050271464e-02       2.427651079364e+04 
       2.404433327267e-02       2.421540948535e+04 
       2.417828838865e-02       2.415370323709e+04 
       2.431237070576e-02       2.409140592651e+04 
       2.444658293160e-02       2.402853127894e+04 
       2.458092783992e-02       2.396509286940e+04 
       2.471540827234e-02       2.390110412351e+04 
       2.485002714012e-02       2.383657832562e+04 
       2.498478742606e-02       2.377152859949e+04 
       2.511969218640e-02       2.370596792407e+04 
       2.525474455279e-02       2.363990911964e+04 
       2.538994773439e-02       2.357336486914e+04 
       2.552530501990e-02       2.350634770042e+04 
       2.566081977983e-02       2.343886998086e+04 
       2.579649546874e-02       2.337094394789e+04 
       2.593233562753e-02       2.330258167770e+04 
       2.606834388596e-02       2.323379508218e+04 
       2.620452396505e-02       2.316459594391e+04 
       2.634087967976e-02       2.309499588708e+04 
       2.647741494162e-02       2.302500637787e+04 
       2.661413376150e-02       2.295463875454e+04 
       2.675104025253e-02       2.288390417681e+04 
       2.688813863307e-02       2.281281365755e+04 
       2.702543322973e-02       2.274137808185e+04 
       2.716292848066e-02       2.266960816367e+04 
       2.730062893881e-02       2.259751446371e+04 
       2.743853927536e-02       2.252510740126e+04 
       2.757666428330e-02       2.245239723302e+04 
       2.771500888114e-02       2.237939407956e+04 
       2.785357811669e-02       2.230610789393e+04 
       2.799237717107e-02       2.223254848905e+04 
       2.813141136287e-02       2.215872551989e+04 
       2.827068615235e-02       2.208464849571e+04 
       2.841020714597e-02       2.201032676271e+04 
       2.854998010098e-02       2.193576952315e+04 
       2.869001093021e-02       2.186098581976e+04 
       2.883030570711e-02       2.178598454549e+04 
