# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       1.092920002052e+02       1.434473014098e-02       1.264873800263e+03       1.481471064923e-01       1.289443804437e+04       1.169118160917e+02       1.422153363436e+06       4.520063522708e+02       4.071506418289e-04       3.288853707555e-03       1.796987151940e-02       3.514585177132e-08       2.816541473951e-04       2.194756516203e-02       1.179011925331e-02       9.788596039589e-01 
       1.085240324095e+02       1.449938010735e-02       1.270085133915e+03       1.465864546175e-01       1.288922671072e+04       1.176840043884e+02       1.411680083998e+06       4.531371544134e+02       3.959285070287e-04       3.220629690655e-03       1.759710431014e-02       3.514585177132e-08       2.738910236655e-04       2.148758867734e-02       1.187104229007e-02       9.790036451890e-01 
       1.077614117254e+02       1.465567657497e-02       1.275315277647e+03       1.450423498100e-01       1.288399656699e+04       1.184611008868e+02       1.401281655290e+06       4.542686366850e+02       3.850156795974e-04       3.153820889120e-03       1.723206965470e-02       3.514585177132e-08       2.663418691510e-04       2.103728323842e-02       1.195253277265e-02       9.791467257280e-01 
       1.070041009263e+02       1.481363695763e-02       1.280564295490e+03       1.435146148269e-01       1.287874754915e+04       1.192431346466e+02       1.390957550102e+06       4.554007953241e+02       3.744036344601e-04       3.088397946874e-03       1.687460715526e-02       3.514585177132e-08       2.590007864701e-04       2.059644466892e-02       1.203459468010e-02       9.792888516762e-01 
       1.062520630450e+02       1.497327885280e-02       1.285832251700e+03       1.420030743540e-01       1.287347959294e+04       1.200301348752e+02       1.380707244910e+06       4.565336265841e+02       3.640840815041e-04       3.024332116763e-03       1.652455974110e-02       3.514585177132e-08       2.518620407806e-04       2.016487312600e-02       1.211723201939e-02       9.794300290988e-01 
       1.055052613715e+02       1.513462004362e-02       1.291119210766e+03       1.405075549844e-01       1.286819263387e+04       1.208221309273e+02       1.370530219849e+06       4.576671267335e+02       3.540489591030e-04       2.961595247921e-03       1.618177359952e-02       3.514585177132e-08       2.449200553003e-04       1.974237300770e-02       1.220044882557e-02       9.795702640262e-01 
       1.047636594512e+02       1.529767850078e-02       1.296425237404e+03       1.390278851970e-01       1.286288660723e+04       1.216191523060e+02       1.360425958686e+06       4.588012920556e+02       3.442904278194e-04       2.900159773406e-03       1.584609810833e-02       3.514585177132e-08       2.381694069502e-04       1.932875286235e-02       1.228424916198e-02       9.797095624538e-01 
       1.040272210834e+02       1.546247238455e-02       1.301750396563e+03       1.375638953357e-01       1.285756144807e+04       1.224212286628e+02       1.350393948801e+06       4.599361188487e+02       3.348008642815e-04       2.839998698087e-03       1.551738576960e-02       3.514585177132e-08       2.316048221188e-04       1.892382529994e-02       1.236863712046e-02       9.798479303427e-01 
       1.032959103195e+02       1.562902004677e-02       1.307094753422e+03       1.361154175887e-01       1.285221709121e+04       1.232283897983e+02       1.340433681152e+06       4.610716034263e+02       3.255728552278e-04       2.781085586784e-03       1.519549214493e-02       3.514585177132e-08       2.252211725426e-04       1.852740690533e-02       1.245361682155e-02       9.799853736192e-01 
       1.025696914608e+02       1.579734003283e-02       1.312458373393e+03       1.346822859676e-01       1.284685347124e+04       1.240406656624e+02       1.330544650259e+06       4.622077421166e+02       3.165991917169e-04       2.723394552650e-03       1.488027579194e-02       3.514585177132e-08       2.190134713000e-04       1.813931815346e-02       1.253919241466e-02       9.801218981756e-01 
       1.018485290573e+02       1.596745108379e-02       1.317841322124e+03       1.332643362878e-01       1.284147052251e+04       1.248580863549e+02       1.320726354173e+06       4.633445312631e+02       3.078728634954e-04       2.666900245804e-03       1.457159820216e-02       3.514585177132e-08       2.129768689160e-04       1.775938332622e-02       1.262536807831e-02       9.802575098698e-01 
       1.011323879058e+02       1.613937213835e-02       1.323243665492e+03       1.318614061478e-01       1.283606817914e+04       1.256806821258e+02       1.310978294458e+06       4.644819672242e+02       2.993870535227e-04       2.611577842188e-03       1.426932374013e-02       3.514585177132e-08       2.071066495740e-04       1.738743043127e-02       1.271214802031e-02       9.803922145255e-01 
       1.004212330480e+02       1.631312233499e-02       1.328665469614e+03       1.304733349097e-01       1.283064637502e+04       1.265084833759e+02       1.301299976158e+06       4.656200463731e+02       2.911351326457e-04       2.557403032662e-03       1.397331958387e-02       3.514585177132e-08       2.013982274319e-04       1.702329112246e-02       1.279953647798e-02       9.805260179329e-01 
       9.971502976905e+01       1.648872101408e-02       1.334106800839e+03       1.290999636797e-01       1.282520504380e+04       1.273415206569e+02       1.291690907780e+06       4.667587650985e+02       2.831106544202e-04       2.504352012324e-03       1.368345566646e-02       3.514585177132e-08       1.958471430402e-04       1.666680062210e-02       1.288753771835e-02       9.806589258480e-01 
       9.901374359565e+01       1.666618771997e-02       1.339567725756e+03       1.277411352885e-01       1.281974411888e+04       1.281798246720e+02       1.282150601268e+06       4.678981198036e+02       2.753073500755e-04       2.452401470051e-03       1.339960461895e-02       3.514585177132e-08       1.904490598585e-04       1.631779764479e-02       1.297615603836e-02       9.807909439934e-01 
       9.831734029454e+01       1.684554220316e-02       1.345048311188e+03       1.263966942723e-01       1.281426353345e+04       1.290234262763e+02       1.272678571975e+06       4.690381069070e+02       2.677191236175e-04       2.401528578258e-03       1.312164171436e-02       3.514585177132e-08       1.851997608677e-04       1.597612432295e-02       1.306539576509e-02       9.809220780582e-01 
       9.762578587070e+01       1.702680442250e-02       1.350548624199e+03       1.250664868538e-01       1.280876322044e+04       1.298723564771e+02       1.263274338647e+06       4.701787228422e+02       2.603400470670e-04       2.351710982866e-03       1.284944481288e-02       3.514585177132e-08       1.800951452762e-04       1.564162613394e-02       1.315526125595e-02       9.810523336980e-01 
       9.693904656578e+01       1.720999454733e-02       1.356068732091e+03       1.237503609236e-01       1.280324311254e+04       1.307266464346e+02       1.253937423392e+06       4.713199640577e+02       2.531643558289e-04       2.302926793482e-03       1.258289430825e-02       3.514585177132e-08       1.751312253163e-04       1.531415182873e-02       1.324575689892e-02       9.811817165353e-01 
       9.625708885639e+01       1.739513295974e-02       1.361608702406e+03       1.224481660218e-01       1.279770314223e+04       1.315863274617e+02       1.244667351662e+06       4.724618270170e+02       2.461864441891e-04       2.255154573782e-03       1.232187307516e-02       3.514585177132e-08       1.703041231296e-04       1.499355336211e-02       1.333688711273e-02       9.813102321596e-01 
       9.557987945253e+01       1.758224025680e-02       1.367168602926e+03       1.211597533194e-01       1.279214324171e+04       1.324514310250e+02       1.235463652224e+06       4.736043081987e+02       2.394008609357e-04       2.208373332090e-03       1.206626641780e-02       3.514585177132e-08       1.656100677371e-04       1.467968582442e-02       1.342865634709e-02       9.814378861272e-01 
       9.490738529588e+01       1.777133725282e-02       1.372748501677e+03       1.198849756004e-01       1.278656334296e+04       1.333219887448e+02       1.226325857143e+06       4.747474040963e+02       2.328023051008e-04       2.162562512159e-03       1.181596201950e-02       3.514585177132e-08       1.610453920943e-04       1.437240737471e-02       1.352106908292e-02       9.815646839618e-01 
       9.423957355827e+01       1.796244498166e-02       1.378348466925e+03       1.186236872441e-01       1.278096337771e+04       1.341980323956e+02       1.217253501757e+06       4.758911112185e+02       2.263856218197e-04       2.117701984136e-03       1.157084989335e-02       3.514585177132e-08       1.566065302261e-04       1.407157917538e-02       1.361412983256e-02       9.816906311545e-01 
       9.357641164003e+01       1.815558469902e-02       1.383968567179e+03       1.173757442071e-01       1.277534327746e+04       1.350795939064e+02       1.208246124651e+06       4.770354260889e+02       2.201457983040e-04       2.073772035718e-03       1.133082233387e-02       3.514585177132e-08       1.522900144413e-04       1.377706532818e-02       1.370784313997e-02       9.818157331637e-01 
       9.291786716843e+01       1.835077788479e-02       1.389608871196e+03       1.161410040063e-01       1.276970297344e+04       1.359667053612e+02       1.199303267640e+06       4.781803452460e+02       2.140779599256e-04       2.030753363494e-03       1.109577386971e-02       3.514585177132e-08       1.480924726241e-04       1.348873281160e-02       1.380221358101e-02       9.819399954156e-01 
       9.226390799606e+01       1.854804624540e-02       1.395269447973e+03       1.149193257012e-01       1.276404239666e+04       1.368593989993e+02       1.190424475740e+06       4.793258652435e+02       2.081773664096e-04       1.988627064459e-03       1.086560121730e-02       3.514585177132e-08       1.440106255996e-04       1.320645141962e-02       1.389724576357e-02       9.820634233040e-01 
       9.161450219931e+01       1.874741171625e-02       1.400950366757e+03       1.137105698770e-01       1.275836147788e+04       1.377577072155e+02       1.181609297153e+06       4.804719826499e+02       2.024394081305e-04       1.947374627714e-03       1.064020323548e-02       3.514585177132e-08       1.400412845723e-04       1.293009370175e-02       1.399294432789e-02       9.821860221907e-01 
       9.096961807678e+01       1.894889646405e-02       1.406651697038e+03       1.125145986278e-01       1.275266014760e+04       1.386616625607e+02       1.172857283238e+06       4.816186940489e+02       1.968596025121e-04       1.906977926328e-03       1.041948088105e-02       3.514585177132e-08       1.361813486355e-04       1.265953490438e-02       1.408931394673e-02       9.823077974055e-01 
       9.032922414775e+01       1.915252288934e-02       1.412373508558e+03       1.113312755399e-01       1.274693833608e+04       1.395712977421e+02       1.164167988493e+06       4.827659960388e+02       1.914335905254e-04       1.867419209376e-03       1.020333716525e-02       3.514585177132e-08       1.324278023486e-04       1.239465291335e-02       1.418635932561e-02       9.824287542465e-01 
       8.969328915063e+01       1.935831362889e-02       1.418115871303e+03       1.101604656753e-01       1.274119597333e+04       1.404866456235e+02       1.155540970534e+06       4.839138852334e+02       1.861571332836e-04       1.828681094142e-03       9.991677111148e-03       3.514585177132e-08       1.287777133814e-04       1.213532819781e-02       1.428408520306e-02       9.825488979799e-01 
       8.906178204145e+01       1.956629155821e-02       1.423878855511e+03       1.090020355554e-01       1.273543298912e+04       1.414077392258e+02       1.146975790070e+06       4.850623582609e+02       1.810261087310e-04       1.790746558476e-03       9.784407711933e-03       3.514585177132e-08       1.252282302242e-04       1.188144375522e-02       1.438249635080e-02       9.826682338406e-01 
       8.843467199233e+01       1.977647979409e-02       1.429662531670e+03       1.078558531447e-01       1.272964931297e+04       1.423346117271e+02       1.138472010882e+06       4.862114117647e+02       1.760365084229e-04       1.753598933319e-03       9.581437890020e-03       3.514585177132e-08       1.217765799596e-04       1.163288505757e-02       1.448159757405e-02       9.827867670318e-01 
       8.781192838999e+01       1.998890169712e-02       1.435466970518e+03       1.067217878353e-01       1.272384487412e+04       1.432672964632e+02       1.130029199806e+06       4.873610424033e+02       1.711844343945e-04       1.717221895379e-03       9.382678457051e-03       3.514585177132e-08       1.184200660967e-04       1.138953999877e-02       1.458139371168e-02       9.829045027258e-01 
       8.719352083427e+01       2.020358087424e-02       1.441292243045e+03       1.055997104309e-01       1.271801960159e+04       1.442058269279e+02       1.121646926704e+06       4.885112468497e+02       1.664660961154e-04       1.681599459958e-03       9.188042074699e-03       3.514585177132e-08       1.151560664646e-04       1.115129884309e-02       1.468188963652e-02       9.830214460635e-01 
       8.657941913659e+01       2.042054118138e-02       1.447138420495e+03       1.044894931310e-01       1.271217342414e+04       1.451502367733e+02       1.113324764450e+06       4.896620217922e+02       1.618778075293e-04       1.646715973929e-03       8.997443216301e-03       3.514585177132e-08       1.119820311643e-04       1.091805417477e-02       1.478309025555e-02       9.831376021549e-01 
       8.596959331854e+01       2.063980672607e-02       1.453005574364e+03       1.033910095160e-01       1.270630627027e+04       1.461005598098e+02       1.105062288906e+06       4.908133639337e+02       1.574159841741e-04       1.612556108857e-03       8.810798129275e-03       3.514585177132e-08       1.088954805763e-04       1.068970084873e-02       1.488500051015e-02       9.832529760792e-01 
       8.536401361040e+01       2.086140187006e-02       1.458893776405e+03       1.023041345315e-01       1.270041806823e+04       1.470568300070e+02       1.096859078902e+06       4.919652699921e+02       1.530771403821e-04       1.579104854267e-03       8.628024798324e-03       3.514585177132e-08       1.058940034242e-04       1.046613594225e-02       1.498762537636e-02       9.833675728848e-01 
       8.476265044967e+01       2.108535123205e-02       1.464803098624e+03       1.012287444738e-01       1.269450874601e+04       1.480190814935e+02       1.088714716214e+06       4.931177367001e+02       1.488578865568e-04       1.546347511047e-03       8.449042909399e-03       3.514585177132e-08       1.029752548906e-04       1.024725870775e-02       1.509096986510e-02       9.834813975894e-01 
       8.416547447964e+01       2.131167969036e-02       1.470733613284e+03       1.001647169744e-01       1.268857823135e+04       1.489873485574e+02       1.080628785545e+06       4.942707608054e+02       1.447549265253e-04       1.514269684990e-03       8.273773814413e-03       3.514585177132e-08       1.001369547855e-04       1.003297052657e-02       1.519503902243e-02       9.835944551807e-01 
       8.357245654795e+01       2.154041238567e-02       1.476685392907e+03       9.911193098578e-02       1.268262645173e+04       1.499616656463e+02       1.072600874503e+06       4.954243390702e+02       1.407650549634e-04       1.482857280469e-03       8.102140496680e-03       3.514585177132e-08       9.737688576553e-05       9.823174863730e-03       1.529983792978e-02       9.837067506155e-01 
       8.298356770519e+01       2.177157472381e-02       1.482658510270e+03       9.807026676660e-02       1.267665333437e+04       1.509420673680e+02       1.064630573582e+06       4.965784682718e+02       1.368851548915e-04       1.452096494243e-03       7.934067537084e-03       3.514585177132e-08       9.469289160109e-05       9.617777223671e-03       1.540537170421e-02       9.838182888210e-01 
       8.239877920348e+01       2.200519237852e-02       1.488653038411e+03       9.703960586746e-02       1.267065880623e+04       1.519285884906e+02       1.056717476143e+06       4.977331452021e+02       1.331121952401e-04       1.421973809396e-03       7.769481080932e-03       3.514585177132e-08       9.208287549251e-05       9.416685106912e-03       1.551164549867e-02       9.839290746940e-01 
       8.181806249502e+01       2.224129129432e-02       1.494669050628e+03       9.601983111665e-02       1.266464279401e+04       1.529212639425e+02       1.048861178391e+06       4.988883666679e+02       1.294432284813e-04       1.392475989392e-03       7.608308805512e-03       3.514585177132e-08       8.954479843187e-05       9.219807967669e-03       1.561866450222e-02       9.840391131014e-01 
       8.124138923079e+01       2.247989768930e-02       1.500706620479e+03       9.501082660605e-02       1.265860522416e+04       1.539201288129e+02       1.041061279359e+06       5.000441294907e+02       1.258753883272e-04       1.363590072265e-03       7.450479888311e-03       3.514585177132e-08       8.707667761021e-05       9.027057172366e-03       1.572643394031e-02       9.841484088807e-01 
       8.066873125907e+01       2.272103805807e-02       1.506765821784e+03       9.401247767733e-02       1.265254602285e+04       1.549252183521e+02       1.033317380883e+06       5.012004305066e+02       1.224058874900e-04       1.335303364920e-03       7.295924975900e-03       3.514585177132e-08       8.467658486864e-05       8.838345959030e-03       1.583495907504e-02       9.842569668393e-01 
       8.010006062413e+01       2.296473917463e-02       1.512846728627e+03       9.302467090811e-02       1.264646511601e+04       1.559365679715e+02       1.025629087589e+06       5.023572665665e+02       1.190320155052e-04       1.307603437556e-03       7.144576153458e-03       3.514585177132e-08       8.234264519206e-05       8.653589397563e-03       1.594424520537e-02       9.843647917553e-01 
       7.953534956486e+01       2.321102809531e-02       1.518949415353e+03       9.204729409848e-02       1.264036242928e+04       1.569542132440e+02       1.017996006869e+06       5.035146345360e+02       1.157511366138e-04       1.280478118208e-03       6.996366914935e-03       3.514585177132e-08       8.007303524445e-05       8.472704350852e-03       1.605429766746e-02       9.844718883777e-01 
       7.897457051338e+01       2.345993216179e-02       1.525073956574e+03       9.108023625750e-02       1.263423788806e+04       1.579781899041e+02       1.010417748862e+06       5.046725312954e+02       1.125606877036e-04       1.253915487394e-03       6.851232133829e-03       3.514585177132e-08       7.786598194456e-05       8.295609436723e-03       1.616512183484e-02       9.845782614258e-01 
       7.841769609374e+01       2.371147900406e-02       1.531220427165e+03       9.012338758997e-02       1.262809141747e+04       1.590085338482e+02       1.002893926437e+06       5.058309537395e+02       1.094581763070e-04       1.227903872883e-03       6.709108034570e-03       3.514585177132e-08       7.571976108075e-05       8.122224990692e-03       1.627672311873e-02       9.846839155902e-01 
       7.786469912053e+01       2.396569654350e-02       1.537388902269e+03       8.917663948328e-02       1.262192294237e+04       1.600452811349e+02       9.954241551723e+05       5.069898987777e+02       1.064411786536e-04       1.202431844561e-03       6.569932164500e-03       3.514585177132e-08       7.363269596415e-05       7.952473029531e-03       1.638910696830e-02       9.847888555323e-01 
       7.731555259763e+01       2.422261299590e-02       1.543579457296e+03       8.823988449444e-02       1.261573238734e+04       1.610884679848e+02       9.880080533383e+05       5.081493633342e+02       1.035073377771e-04       1.177488209414e-03       6.433643366431e-03       3.514585177132e-08       7.160315611877e-05       7.786277215593e-03       1.650227887091e-02       9.848930858848e-01 
       7.677022971682e+01       2.448225687462e-02       1.549792167924e+03       8.731301633727e-02       1.260951967671e+04       1.621381307812e+02       9.806452418766e+05       5.093093443475e+02       1.006543616739e-04       1.153062006605e-03       6.300181751774e-03       3.514585177132e-08       6.962955600788e-05       7.623562821912e-03       1.661624435240e-02       9.849966112516e-01 
       7.622870385650e+01       2.474465699368e-02       1.556027110099e+03       8.639592986967e-02       1.260328473454e+04       1.631943060699e+02       9.733353443827e+05       5.104698387708e+02       9.788002151296e-05       1.129142502662e-03       6.169488674223e-03       3.514585177132e-08       6.771035379537e-05       7.464256698045e-03       1.673100897734e-02       9.850994362081e-01 
       7.569094858041e+01       2.500984247094e-02       1.562284360039e+03       8.548852108112e-02       1.259702748460e+04       1.642570305593e+02       9.660779870872e+05       5.116308435717e+02       9.518214989407e-05       1.105719186761e-03       6.041506703990e-03       3.514585177132e-08       6.584405014131e-05       7.308287236638e-03       1.684657834934e-02       9.852015653013e-01 
       7.515693763631e+01       2.527784273133e-02       1.568563994232e+03       8.459068708027e-02       1.259074785040e+04       1.653263411212e+02       9.588727988377e+05       5.127923557324e+02       9.255863915525e-05       1.082781766106e-03       5.916179602568e-03       3.514585177132e-08       6.402918703067e-05       7.155584340712e-03       1.696295811126e-02       9.853030030498e-01 
