# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       1.212534778228e+05       5.094135550366e-08       3.796449856398e+00       3.216044320790e+04       1.417295893368e+04       1.168860662976e-01       1.718534734706e+09       2.188856832782e+00       5.947989794155e+08       4.399603035591e+06       2.390226175783e+07       3.406691626176e-08       4.111932631198e+08       1.034294107329e+09       2.283061037163e-04       9.784828435284e-02 
       1.204105565646e+05       5.165374796478e-08       3.822841947429e+00       3.171789713185e+04       1.417293254159e+04       1.177040887598e-01       1.706584868417e+09       2.204052076314e+00       5.784312584254e+08       4.308485618883e+06       2.340723701873e+07       3.406691626176e-08       3.998780174038e+08       1.006024998467e+09       2.284621630218e-04       9.805927247500e-02 
       1.195734947468e+05       5.237608012980e-08       3.849416246869e+00       3.128146099342e+04       1.417290596729e+04       1.185278348639e-01       1.694718070133e+09       2.219351929845e+00       5.625139404572e+08       4.219255249113e+06       2.292246427043e+07       3.406691626176e-08       3.888741419064e+08       9.785298018831e+08       2.286186668033e-04       9.827184227327e-02 
       1.187422516386e+05       5.310849020896e-08       3.876173995281e+00       3.085105029117e+04       1.417287920954e+04       1.193573446403e-01       1.682933762422e+09       2.234757101465e+00       5.470346315359e+08       4.131872845838e+06       2.244773119583e+07       3.406691626176e-08       3.781730684909e+08       9.517873040685e+08       2.287756183601e-04       9.848600302319e-02 
       1.179167867922e+05       5.385111832450e-08       3.903116441441e+00       3.042658169335e+04       1.417285226709e+04       1.201926583991e-01       1.671231371868e+09       2.250268303892e+00       5.319812787361e+08       4.046300137960e+06       2.198282987485e+07       3.406691626176e-08       3.677664647931e+08       9.257768735420e+08       2.289330210158e-04       9.870176404426e-02 
       1.170970600409e+05       5.460410653687e-08       3.930244842386e+00       3.000797302168e+04       1.417282513869e+04       1.210338167322e-01       1.659610329039e+09       2.265886254499e+00       5.173421607965e+08       3.962499646964e+06       2.152755669338e+07       3.406691626176e-08       3.576462277330e+08       9.004784448698e+08       2.290908781186e-04       9.891913469995e-02 
       1.162830314973e+05       5.536759887136e-08       3.957560463461e+00       2.959514323541e+04       1.417279782307e+04       1.218808605152e-01       1.648070068463e+09       2.281611675342e+00       5.031058789939e+08       3.880434670503e+06       2.108171225408e+07       3.406691626176e-08       3.478044772060e+08       8.758725031246e+08       2.292491930413e-04       9.913812439779e-02 
       1.154746615514e+05       5.614174134506e-08       3.985064578375e+00       2.918801241556e+04       1.417277031895e+04       1.227338309090e-01       1.636610028597e+09       2.297445293188e+00       4.892613482681e+08       3.800069266324e+06       2.064510128909e+07       3.406691626176e-08       3.382335499473e+08       8.519400687708e+08       2.294079691816e-04       9.935874258935e-02 
       1.146719108683e+05       5.692668199417e-08       4.012758469256e+00       2.878650174935e+04       1.417274262506e+04       1.235927693625e-01       1.625229651803e+09       2.313387839546e+00       4.757977885899e+08       3.721368236530e+06       2.021753257447e+07       3.406691626176e-08       3.289259935647e+08       8.286626829656e+08       2.295672099622e-04       9.958099877032e-02 
       1.138747403866e+05       5.772257090173e-08       4.040643426695e+00       2.839053351494e+04       1.417271474011e+04       1.244577176139e-01       1.613928384318e+09       2.329440050692e+00       4.627047165685e+08       3.644297112159e+06       1.979881884649e+07       3.406691626176e-08       3.198745607360e+08       8.060223932632e+08       2.297269188311e-04       9.980490248052e-02 
       1.130831113166e+05       5.852956022570e-08       4.068720749803e+00       2.800003106628e+04       1.417268666278e+04       1.253287176932e-01       1.602705676229e+09       2.345602667699e+00       4.499719372882e+08       3.568822138093e+06       1.938877671957e+07       3.406691626176e-08       3.110722035665e+08       7.840017397124e+08       2.298870992617e-04       1.000304633039e-01 
       1.122969851380e+05       5.934780422737e-08       4.096991746264e+00       2.761491881820e+04       1.417265839179e+04       1.262058119241e-01       1.591560981447e+09       2.361876436467e+00       4.375895363705e+08       3.494910258272e+06       1.898722660603e+07       3.406691626176e-08       3.025120681009e+08       7.625837413357e+08       2.300477547529e-04       1.002576908688e-01 
       1.115163235985e+05       6.017745930026e-08       4.125457732391e+00       2.723512223178e+04       1.417262992580e+04       1.270890429260e-01       1.580493757677e+09       2.378262107750e+00       4.255478722546e+08       3.422529101217e+06       1.859399263736e+07       3.406691626176e-08       2.941874889867e+08       7.417518829799e+08       2.302088888295e-04       1.004865948473e-01 
       1.107410887115e+05       6.101868399934e-08       4.154120033170e+00       2.686056779980e+04       1.417260126350e+04       1.279784536160e-01       1.569503466395e+09       2.394760437186e+00       4.138375686902e+08       3.351646965856e+06       1.820890258727e+07       3.406691626176e-08       2.860919842844e+08       7.214901025277e+08       2.303705050422e-04       1.007171849563e-01 
       1.099712427545e+05       6.187163907063e-08       4.182979982326e+00       2.649118303249e+04       1.417257240355e+04       1.288740872111e-01       1.558589572819e+09       2.411372185329e+00       4.024495074366e+08       3.282232807632e+06       1.783178779620e+07       3.406691626176e-08       2.782192504205e+08       7.017827784609e+08       2.305326069678e-04       1.009494709566e-01 
       1.092067482674e+05       6.273648748127e-08       4.212038922364e+00       2.612689644342e+04       1.417254334461e+04       1.297759872304e-01       1.547751545887e+09       2.428098117671e+00       3.913748211636e+08       3.214256224916e+06       1.746248309749e+07       3.406691626176e-08       2.705631572794e+08       6.826147177654e+08       2.306951982097e-04       1.011834626532e-01 
       1.084475680503e+05       6.361339444992e-08       4.241298204633e+00       2.576763753563e+04       1.417251408533e+04       1.306841974968e-01       1.536988858226e+09       2.444939004679e+00       3.806048865465e+08       3.147687445688e+06       1.710082674506e+07       3.406691626176e-08       2.631177434302e+08       6.639711441674e+08       2.308582823976e-04       1.014191698956e-01 
