# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       8.758708232225e+11       9.854033060668e-22       5.292458808981e-07       1.654938518828e+18       1.414882222329e+04       1.615400564574e-08       1.239254056836e+16       3.055607503858e-07       1.619344720995e+36       1.658212995460e+27       9.008776643506e+27       3.511603399961e-08       1.119476769439e+36       2.738821501100e+36       1.842863340407e-06       7.545082186424e+00 
       8.697823467949e+11       9.992472371108e-22       5.329511623131e-07       1.632010404675e+18       1.414882222329e+04       1.626708368526e-08       1.230639579777e+16       3.076996756373e-07       1.574785573588e+36       1.623872408646e+27       8.822210335522e+27       3.511603399961e-08       1.088672376933e+36       2.663457960968e+36       1.939856147787e-06       7.167828077080e+00 
       8.637361934408e+11       1.013285661542e-21       5.366819095798e-07       1.609399944872e+18       1.414882222329e+04       1.638095327105e-08       1.222084984883e+16       3.098535733655e-07       1.531452550300e+36       1.590242994586e+27       8.639507702779e+27       3.511603399961e-08       1.058715622024e+36       2.590168182553e+36       2.036848955167e-06       6.826502930532e+00 
       8.577320689580e+11       1.027521311797e-21       5.404381226981e-07       1.587102738520e+18       1.414882222328e+04       1.649561994395e-08       1.213589855891e+16       3.120225483778e-07       1.489311912146e+36       1.557310025323e+27       8.460588730903e+27       3.511603399961e-08       1.029583180456e+36       2.518895102619e+36       2.133841762545e-06       6.516207342762e+00 
       8.517696811897e+11       1.041956958703e-21       5.442216206575e-07       1.565114445695e+18       1.414882222328e+04       1.661108928355e-08       1.205153779435e+16       3.142067062151e-07       1.448330848530e+36       1.525059077907e+27       8.285375062570e+27       3.511603399961e-08       1.001252369783e+36       2.449583228123e+36       2.230834569924e-06       6.232893980016e+00 
       8.458487400096e+11       1.056595412012e-21       5.480324034579e-07       1.543430786596e+18       1.414882222327e+04       1.672736690853e-08       1.196776345019e+16       3.164061531573e-07       1.408477451698e+36       1.493476028079e+27       8.113789963187e+27       3.511603399961e-08       9.737011317061e+35       2.382178593011e+36       2.327827377301e-06       5.973190064167e+00 
       8.399689573083e+11       1.071439520952e-21       5.518686521100e-07       1.522047540718e+18       1.414882222327e+04       1.684445847689e-08       1.188457145004e+16       3.186209962280e-07       1.369720691896e+36       1.462547044084e+27       7.945758287290e+27       3.511603399961e-08       9.469080149009e+35       2.316628716205e+36       2.424820184678e-06       5.734262461586e+00 
       8.341300469794e+11       1.086492174778e-21       5.557303666137e-07       1.500960546028e+18       1.414882222327e+04       1.696236968622e-08       1.180195774581e+16       3.208513432002e-07       1.332030393206e+36       1.432258580615e+27       7.781206445629e+27       3.511603399961e-08       9.208521583133e+35       2.252882560733e+36       2.521812992054e-06       5.513713905359e+00 
       8.283317249051e+11       1.101756303337e-21       5.596211849479e-07       1.480165698156e+18       1.414882222326e+04       1.708110627402e-08       1.171991831758e+16       3.230973026011e-07       1.295377210057e+36       1.402597372879e+27       7.620062372946e+27       3.511603399961e-08       8.955132749182e+35       2.190890493998e+36       2.618805799429e-06       5.309502279223e+00 
       8.225737089424e+11       1.117234877638e-21       5.635374691337e-07       1.459658949594e+18       1.414882222326e+04       1.720067401793e-08       1.163844917337e+16       3.253589837178e-07       1.259732604371e+36       1.373550430791e+27       7.462255496408e+27       3.511603399961e-08       8.708716359244e+35       2.130604249131e+36       2.715798606804e-06       5.119877197813e+00 
       8.168557189100e+11       1.132930910429e-21       5.674828571500e-07       1.439436308912e+18       1.414882222326e+04       1.732107873606e-08       1.155754634892e+16       3.276364966023e-07       1.225068823347e+36       1.345105033281e+27       7.307716704706e+27       3.511603399961e-08       8.469080554131e+35       2.071976887413e+36       2.812791414178e-06       4.943329708224e+00 
       8.111774765739e+11       1.148847456784e-21       5.714555300074e-07       1.419493839975e+18       1.414882222325e+04       1.744232628720e-08       1.147720590756e+16       3.299299520769e-07       1.191358877852e+36       1.317248722725e+27       7.156378317781e+27       3.511603399961e-08       8.236038754003e+35       2.014962761726e+36       2.909784221552e-06       4.778552051276e+00 
       8.055387056344e+11       1.164987614699e-21       5.754554877058e-07       1.399827661183e+18       1.414882222325e+04       1.756442257121e-08       1.139742393998e+16       3.322394617398e-07       1.158576521406e+36       1.289969299489e+27       7.008174057189e+27       3.511603399961e-08       8.009409513097e+35       1.959517481014e+36       3.006777028925e-06       4.624405210906e+00 
       7.999391317124e+11       1.181354525693e-21       5.794845492346e-07       1.380433944715e+18       1.414882222324e+04       1.768737352921e-08       1.131819656403e+16       3.345651379703e-07       1.126696229749e+36       1.263254816586e+27       6.863039017071e+27       3.511603399961e-08       7.789016378452e+35       1.905597875721e+36       3.103769836298e-06       4.479892548060e+00 
       7.943784823360e+11       1.197951375419e-21       5.835408956045e-07       1.361308915777e+18       1.414882222324e+04       1.781118514391e-08       1.123951992455e+16       3.369070939344e-07       1.095693180965e+36       1.237093574444e+27       6.720909635731e+27       3.511603399961e-08       7.574687752522e+35       1.853161964175e+36       3.200762643670e-06       4.344138228417e+00 
       7.888564869275e+11       1.214781394286e-21       5.876245268155e-07       1.342448851878e+18       1.414882222323e+04       1.793586343991e-08       1.116139019320e+16       3.392654435902e-07       1.065543236157e+36       1.211474115782e+27       6.581723667796e+27       3.511603399961e-08       7.366256759574e+35       1.802168919908e+36       3.297755451042e-06       4.216369456990e+00 
       7.833728767899e+11       1.231847858088e-21       5.917390808463e-07       1.323850082095e+18       1.414882222323e+04       1.806141448398e-08       1.108380356822e+16       3.416403016935e-07       1.036222920654e+36       1.186385220592e+27       6.445420156957e+27       3.511603399961e-08       7.163561115758e+35       1.752579039862e+36       3.394748258413e-06       4.095901758216e+00 
       7.779273850942e+11       1.249154088640e-21       5.958809197182e-07       1.305508986365e+18       1.414882222323e+04       1.818784438537e-08       1.100675627429e+16       3.440317838035e-07       1.007709405731e+36       1.161815901225e+27       6.311939409273e+27       3.511603399961e-08       6.966443002751e+35       1.704353713480e+36       3.491741065784e-06       3.982126709375e+00 
       7.725197468661e+11       1.266703454424e-21       6.000518624205e-07       1.287421994780e+18       1.414882222322e+04       1.831515929606e-08       1.093024456235e+16       3.464400062883e-07       9.799804908372e+35       1.137755397583e+27       6.181222967029e+27       3.511603399961e-08       6.774748944881e+35       1.657455392644e+36       3.588733873155e-06       3.874501663175e+00 
       7.671496989732e+11       1.284499371248e-21       6.042519089533e-07       1.269585586890e+18       1.414882222322e+04       1.844336541113e-08       1.085426470938e+16       3.488650863304e-07       9.530145863078e+35       1.114193172397e+27       6.053213583133e+27       3.511603399961e-08       6.588329689634e+35       1.611847562439e+36       3.685726680525e-06       3.772541093091e+00 
       7.618169801124e+11       1.302545302908e-21       6.084810593165e-07       1.251996291017e+18       1.414882222321e+04       1.857246896900e-08       1.077881301825e+16       3.513071419327e-07       9.267906965572e+35       1.091118906625e+27       5.927855196047e+27       3.511603399961e-08       6.407040091443e+35       1.567494712720e+36       3.782719487895e-06       3.675809270192e+00 
       7.565213307967e+11       1.320844761861e-21       6.127411324997e-07       1.234650683583e+18       1.414882222321e+04       1.870247625178e-08       1.070388581752e+16       3.537662919242e-07       9.012884037301e+35       1.068522494922e+27       5.805092905232e+27       3.511603399961e-08       6.230738998679e+35       1.524362310472e+36       3.879712295265e-06       3.583914038439e+00 
       7.512624933433e+11       1.339401309912e-21       6.170303095132e-07       1.217545388440e+18       1.414882222321e+04       1.883339358554e-08       1.062947946129e+16       3.562426559656e-07       8.764878518052e+35       1.046394041219e+27       5.684872947107e+27       3.511603399961e-08       6.059289143751e+35       1.482416772912e+36       3.976705102634e-06       3.496501500919e+00 
       7.460402118602e+11       1.358218558907e-21       6.213504093466e-07       1.200677076215e+18       1.414882222320e+04       1.896522734063e-08       1.055559032898e+16       3.587363545553e-07       8.523697311345e+35       1.024723854389e+27       5.567142671502e+27       3.511603399961e-08       5.892557036231e+35       1.441625441349e+36       4.073697910004e-06       3.413251465185e+00 
       7.408542322345e+11       1.377300171432e-21       6.256996130105e-07       1.184042463663e+18       1.414882222320e+04       1.909798393201e-08       1.048221482520e+16       3.612475090350e-07       8.289152634094e+35       1.003502444004e+27       5.451850518600e+27       3.511603399961e-08       5.730412858914e+35       1.401956555756e+36       4.170690717373e-06       3.333873524138e+00 
       7.357043021196e+11       1.396649861532e-21       6.300797394942e-07       1.167638313022e+18       1.414882222319e+04       1.923166981953e-08       1.040934937954e+16       3.637762415961e-07       8.061061870400e+35       9.827205161756e+26       5.338945996355e+27       3.511603399961e-08       5.572730366750e+35       1.363379230037e+36       4.267683524742e-06       3.258103671321e+00 
       7.305901709231e+11       1.416271395428e-21       6.344889698084e-07       1.151461431391e+18       1.414882222319e+04       1.936629150826e-08       1.033699044641e+16       3.663226752850e-07       7.839247429362e+35       9.623689694852e+26       5.228379658384e+27       3.511603399961e-08       5.419386788543e+35       1.325863427981e+36       4.364676332111e-06       3.185701367519e+00 
       7.255115897945e+11       1.436168592252e-21       6.389309419319e-07       1.135508670103e+18       1.414882222318e+04       1.950185554882e-08       1.026513450488e+16       3.688869340097e-07       7.623536606811e+35       9.424388910005e+26       5.120103082306e+27       3.511603399961e-08       5.270262731366e+35       1.289379939880e+36       4.461669139479e-06       3.116446989970e+00 
       7.204683116132e+11       1.456345324795e-21       6.434038368752e-07       1.119776924115e+18       1.414882222318e+04       1.963836853765e-08       1.019377805846e+16       3.714691425454e-07       7.413761450838e+35       9.229215523702e+26       5.014068848540e+27       3.511603399961e-08       5.125242087600e+35       1.253900359781e+36       4.558661946848e-06       3.050139607211e+00 
       7.154600909763e+11       1.476805520253e-21       6.479076546384e-07       1.104263131401e+18       1.414882222317e+04       1.977583711741e-08       1.012291763501e+16       3.740694265408e-07       7.209758631030e+35       9.038084060021e+26       4.910230519533e+27       3.511603399961e-08       4.984211944535e+35       1.219397063371e+36       4.655654754217e-06       2.986595032067e+00 
       7.104866841869e+11       1.497553160997e-21       6.524423952214e-07       1.088964272356e+18       1.414882222317e+04       1.991426797723e-08       1.005254978650e+16       3.766879125241e-07       7.011369311302e+35       8.850910813190e+26       4.808542619429e+27       3.511603399961e-08       4.847062496451e+35       1.185843186469e+36       4.752647561585e-06       2.925644113053e+00 
       7.055478492422e+11       1.518592285345e-21       6.570098776137e-07       1.073877369215e+18       1.414882222317e+04       2.005366785306e-08       9.982671088879e+15       3.793247279093e-07       6.818439026223e+35       8.667613810937e+26       4.708960614148e+27       3.511603399961e-08       4.713686959132e+35       1.153212604111e+36       4.849640368954e-06       2.867131230800e+00 
       7.006433458214e+11       1.539926988350e-21       6.616082828259e-07       1.058999485461e+18       1.414882222316e+04       2.019404352803e-08       9.913278141882e+15       3.819800010021e-07       6.630817560755e+35       8.488112778584e+26       4.611440891882e+27       3.511603399961e-08       4.583981486717e+35       1.121479910207e+36       4.946633176323e-06       2.810912971381e+00 
       6.957729352744e+11       1.561561422598e-21       6.662394298473e-07       1.044327725267e+18       1.414882222316e+04       2.033540183272e-08       9.844367568896e+15       3.846538610065e-07       6.448358833293e+35       8.312329103894e+26       4.515940744000e+27       3.511603399961e-08       4.457845090849e+35       1.090620397761e+36       5.043625983692e-06       2.756856952710e+00 
       6.909363806101e+11       1.583499799013e-21       6.709033186780e-07       1.029859232922e+18       1.414882222315e+04       2.047774964554e-08       9.775936016775e+15       3.873464380308e-07       6.270920781928e+35       8.140185802640e+26       4.422418346340e+27       3.511603399961e-08       4.335179562044e+35       1.060610039634e+36       5.140618791061e-06       2.704840783800e+00 
       6.861334464847e+11       1.605746387677e-21       6.755999493180e-07       1.015591192279e+18       1.414882222315e+04       2.062109389306e-08       9.707980155681e+15       3.900578630943e-07       6.098365253835e+35       7.971607484894e+26       4.330832740892e+27       3.511603399961e-08       4.215889393229e+35       1.031425469834e+36       5.237611598430e-06       2.654751139666e+00 
       6.813638991903e+11       1.628305518664e-21       6.803293217672e-07       1.001520826209e+18       1.414882222314e+04       2.076544155030e-08       9.640496678925e+15       3.927882681332e-07       5.930557897711e+35       7.806520322007e+26       4.241143817862e+27       3.511603399961e-08       4.099881705374e+35       1.003043965330e+36       5.334604405799e-06       2.606482937137e+00 
       6.766275066437e+11       1.651181582883e-21       6.850914360257e-07       9.876453960572e+17       1.414882222314e+04       2.091079964115e-08       9.573482302801e+15       3.955377860073e-07       5.767368059167e+35       7.644852014275e+26       4.153312298107e+27       3.511603399961e-08       3.987066175185e+35       9.754434283530e+35       5.431597213169e-06       2.559938598985e+00 
       6.719240383751e+11       1.674379032928e-21       6.898862920934e-07       9.739622011111e+17       1.414882222313e+04       2.105717523863e-08       9.506933766432e+15       3.983065505064e-07       5.608668679002e+35       7.486531759280e+26       4.067299715930e+27       3.511603399961e-08       3.877354964770e+35       9.486023691932e+35       5.528590020539e-06       2.515027395506e+00 
       6.672532655164e+11       1.697902383947e-21       6.947157089598e-07       9.604685780749e+17       1.414882222313e+04       2.120457546529e-08       9.440847831607e+15       4.010946963570e-07       5.454336194275e+35       7.331490220877e+26       3.983068402235e+27       3.511603399961e-08       3.770662653256e+35       9.224998894693e+35       5.625582827910e-06       2.471664854217e+00 
       6.626149607908e+11       1.721756214525e-21       6.995796866249e-07       9.471619005511e+17       1.414882222312e+04       2.135300749355e-08       9.375221282625e+15       4.039023592285e-07       5.304250442098e+35       7.179659498830e+26       3.900581468030e+27       3.511603399961e-08       3.666906170273e+35       8.971156658556e+35       5.722575635280e-06       2.429772229582e+00 
       6.580088985013e+11       1.745945167568e-21       7.044764060993e-07       9.340395785293e+17       1.414882222312e+04       2.150247854599e-08       9.310050926138e+15       4.067296757400e-07       5.158294566079e+35       7.030973099079e+26       3.819802788273e+27       3.511603399961e-08       3.566004731285e+35       8.724299342592e+35       5.819568442651e-06       2.389276025768e+00 
       6.534348545196e+11       1.770473951212e-21       7.094076863723e-07       9.210990578820e+17       1.414882222311e+04       2.165299589581e-08       9.245333590997e+15       4.095767834671e-07       5.016354925337e+35       6.885365904612e+26       3.740696986050e+27       3.511603399961e-08       3.467879774682e+35       8.484234744311e+35       5.916561250023e-06       2.350107566343e+00 
       6.488926062756e+11       1.795347339737e-21       7.143735274440e-07       9.083378198674e+17       1.414882222311e+04       2.180456686707e-08       9.181066128097e+15       4.124438209481e-07       4.878321006022e+35       6.742774146954e+26       3.663229417078e+27       3.511603399961e-08       3.372454900617e+35       8.250775950014e+35       6.013554057395e-06       2.312202605610e+00 
       6.443819327463e+11       1.820570174497e-21       7.193739293143e-07       8.957533806394e+17       1.414882222310e+04       2.195719883514e-08       9.117245410222e+15       4.153309276915e-07       4.744085335269e+35       6.603135378234e+26       3.587366154541e+27       3.511603399961e-08       3.279655811523e+35       8.023741189269e+35       6.110546864768e-06       2.275500976964e+00 
       6.399026144452e+11       1.846147364862e-21       7.244107109727e-07       8.833432907639e+17       1.414882222310e+04       2.211089922698e-08       9.053868331894e+15       4.182382441820e-07       4.613543397519e+35       6.466388443839e+26       3.513073974223e+27       3.511603399961e-08       3.189410254260e+35       7.802953693376e+35       6.207539672141e-06       2.239946274214e+00 
       6.354544334112e+11       1.872083889174e-21       7.294802344404e-07       8.711051347423e+17       1.414882222309e+04       2.226567552156e-08       8.990931809226e+15       4.211659118879e-07       4.486593553147e+35       6.332473455633e+26       3.440320339963e+27       3.511603399961e-08       3.101647963861e+35       7.588241557744e+35       6.304532479515e-06       2.205485562319e+00 
       6.310371731988e+11       1.898384795716e-21       7.345879566856e-07       8.590365305410e+17       1.414882222309e+04       2.242153525020e-08       8.928432779764e+15       4.241140732677e-07       4.363136959319e+35       6.201331765725e+26       3.369073389405e+27       3.511603399961e-08       3.016300608828e+35       7.379437608039e+35       6.401525286889e-06       2.172069114421e+00 
       6.266506188667e+11       1.925055203693e-21       7.397284207400e-07       8.471351291280e+17       1.414882222308e+04       2.257848599695e-08       8.866368202344e+15       4.270828717770e-07       4.243077493040e+35       6.072905940788e+26       3.299301920040e+27       3.511603399961e-08       2.933301737921e+35       7.176379270027e+35       6.498518094265e-06       2.139650172431e+00 
       6.222945569679e+11       1.952100304231e-21       7.449070835719e-07       8.353986140157e+17       1.414882222308e+04       2.273653539892e-08       8.804735056941e+15       4.300724518758e-07       4.126321676308e+35       5.947139736901e+26       3.230975375548e+27       3.511603399961e-08       2.852586728428e+35       6.978908442994e+35       6.595510901641e-06       2.108184728736e+00 
       6.179687755390e+11       1.979525361386e-21       7.501221261919e-07       8.238247008099e+17       1.414882222307e+04       2.289569114671e-08       8.743530344526e+15       4.330829590353e-07       4.012778603338e+35       5.823978074925e+26       3.164063832410e+27       3.511603399961e-08       2.774092735844e+35       6.786871376646e+35       6.692503709017e-06       2.077631326887e+00 
       6.136730640904e+11       2.007335713168e-21       7.553717296105e-07       8.124111367653e+17       1.414882222307e+04       2.305596098473e-08       8.682751086913e+15       4.361145397448e-07       3.902359869774e+35       5.703367016374e+26       3.098537986804e+27       3.511603399961e-08       2.697758644941e+35       6.600118551403e+35       6.789496516395e-06       2.047950879378e+00 
       6.094072135951e+11       2.035536772583e-21       7.606595318066e-07       8.011557003469e+17       1.414882222306e+04       2.321735271161e-08       8.622394326623e+15       4.391673415192e-07       3.794979503867e+35       5.585253739795e+26       3.034369141773e+27       3.511603399961e-08       2.623525022187e+35       6.418504561983e+35       6.886489323773e-06       2.019106500814e+00 
       6.051710164797e+11       2.064134028680e-21       7.659855327802e-07       7.900562007974e+17       1.414882222306e+04       2.337987418059e-08       8.562457126732e+15       4.422415129060e-07       3.690553899531e+35       5.469586517637e+26       2.971529194659e+27       3.511603399961e-08       2.551334069469e+35       6.241888004185e+35       6.983482131153e-06       1.991063354988e+00 
       6.009642666134e+11       2.093133047628e-21       7.713460945524e-07       7.791104777116e+17       1.414882222305e+04       2.354353329984e-08       8.502936570733e+15       4.453372034924e-07       3.589001751253e+35       5.356314693595e+26       2.909990624789e+27       3.511603399961e-08       2.481129579090e+35       6.070131364799e+35       7.080474938533e-06       1.963788514528e+00 
       5.967867592983e+11       2.122539473792e-21       7.767466740916e-07       7.683164006147e+17       1.414882222305e+04       2.370833803293e-08       8.443829762393e+15       4.484545639128e-07       3.490243990782e+35       5.245388660424e+26       2.849726481429e+27       3.511603399961e-08       2.412856890011e+35       5.903100914535e+35       7.177467745914e-06       1.937250831919e+00 
       5.926382912594e+11       2.152359030837e-21       7.821836334188e-07       7.576718685487e+17       1.414882222304e+04       2.387429639916e-08       8.385133825610e+15       4.515937458561e-07       3.394203725572e+35       5.136759838215e+26       2.790710371979e+27       3.511603399961e-08       2.346462845285e+35       5.740666603901e+35       7.274460553297e-06       1.911420820846e+00 
       5.885186606349e+11       2.182597522838e-21       7.876587915234e-07       7.471748096629e+17       1.414882222303e+04       2.404141647394e-08       8.326845904276e+15       4.547549020729e-07       3.300806178914e+35       5.030380653122e+26       2.732916450411e+27       3.511603399961e-08       2.281895750675e+35       5.582701961948e+35       7.371453360680e-06       1.886270546908e+00 
       5.844276669661e+11       2.213260835413e-21       7.931721484056e-07       7.368231808108e+17       1.414882222303e+04       2.420970638925e-08       8.268963162137e+15       4.579381863832e-07       3.209978631710e+35       4.926204516522e+26       2.676319405955e+27       3.511603399961e-08       2.219105334402e+35       5.429083997801e+35       7.468446168065e-06       1.861773526839e+00 
       5.803651111877e+11       2.244354936865e-21       7.987237040652e-07       7.266149671522e+17       1.414882222302e+04       2.437917433397e-08       8.211482782655e+15       4.611437536836e-07       3.121650365858e+35       4.824185804615e+26       2.620894452011e+27       3.511603399961e-08       2.158042708005e+35       5.279693104896e+35       7.565438975451e-06       1.837904635491e+00 
       5.763307956183e+11       2.275885879349e-21       8.043152774917e-07       7.165481817615e+17       1.414882222302e+04       2.454982855430e-08       8.154401968869e+15       4.643717599549e-07       3.035752609191e+35       4.724279838442e+26       2.566617315294e+27       3.511603399961e-08       2.098660328275e+35       5.134412967857e+35       7.662431782838e-06       1.814640019874e+00 
       5.723245239506e+11       2.307859800042e-21       8.099450496957e-07       7.066208652404e+17       1.414882222301e+04       2.472167735417e-08       8.097717943262e+15       4.676223622702e-07       2.952218481930e+35       4.626442864320e+26       2.513464225205e+27       3.511603399961e-08       2.040911960240e+35       4.993130471931e+35       7.759424590227e-06       1.791957019647e+00 
       5.683461012419e+11       2.340282922347e-21       8.156148396665e-07       6.968310853372e+17       1.414882222301e+04       2.489472909564e-08       8.041427947625e+15       4.708957188015e-07       2.870982944613e+35       4.530632034674e+26       2.461411903419e+27       3.511603399961e-08       1.984752641164e+35       4.855735614922e+35       7.856417397617e-06       1.769834093501e+00 
       5.643953339045e+11       2.373161557096e-21       8.213246474043e-07       6.871769365698e+17       1.414882222300e+04       2.506899219930e-08       7.985529242921e+15       4.741919888284e-07       2.791982747452e+35       4.436805389282e+26       2.410437553690e+27       3.511603399961e-08       1.930138645542e+35       4.722121421535e+35       7.953410205008e-06       1.748250750921e+00 
