# Matter power spectrum P(k) at redshift z=0
# for k=9.63987e-06 to 1.69422 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.639867365113e-06       6.087579349066e+01 
       2.213295592657e-05       1.354085120936e+02 
       3.466613324251e-05       2.084789513416e+02 
       4.727111288931e-05       2.809209894092e+02 
       5.998009179942e-05       3.531889146099e+02 
       7.282602038299e-05       4.256130017447e+02 
       8.584288066580e-05       4.984691979652e+02 
       9.906597594449e-05       5.720070666858e+02 
       1.125322354871e-04       6.464796038924e+02 
       1.262805378381e-04       7.219441926497e+02 
       1.403520563021e-04       8.000397467146e+02 
       1.547906301534e-04       8.787482704071e+02 
       1.696431650140e-04       9.586389570799e+02 
       1.849600656069e-04       1.041328423515e+03 
       2.007957036702e-04       1.128165981382e+03 
       2.172089231023e-04       1.216052968603e+03 
       2.342635833120e-04       1.306944597104e+03 
       2.520291400941e-04       1.401138322784e+03 
       2.705812609792e-04       1.498998516889e+03 
       2.900024686727e-04       1.603121115451e+03 
       3.103828016473e-04       1.709600161659e+03 
       3.318204748816e-04       1.824523356653e+03 
       3.544225158533e-04       1.943030707865e+03 
       3.783053409298e-04       2.066467270536e+03 
       4.035952251389e-04       2.197702285987e+03 
       4.304286040572e-04       2.335782963199e+03 
       4.589521308029e-04       2.484232284127e+03 
       4.893223951043e-04       2.639381626734e+03 
       5.217051973325e-04       2.805205757976e+03 
       5.562742616231e-04       2.981343116736e+03 
       5.932092734321e-04       3.167727118504e+03 
       6.326931437671e-04       3.365716995911e+03 
       6.749084408164e-04       3.575941987158e+03 
       7.200329943073e-04       3.798765571528e+03 
       7.682347695198e-04       4.036232143520e+03 
       8.196662209116e-04       4.286366518083e+03 
       8.744584557809e-04       4.551859894917e+03 
       9.327156437853e-04       4.830994816050e+03 
       9.945101708349e-04       5.124581686028e+03 
       1.059879030350e-03       5.432107374647e+03 
       1.128821857026e-03       5.752893074883e+03 
       1.201300843401e-03       6.086796053257e+03 
       1.277242564566e-03       6.432431945265e+03 
       1.356541513787e-03       6.789040601476e+03 
       1.439064967186e-03       7.155465839418e+03 
       1.524658683166e-03       7.530191424357e+03 
       1.613152915660e-03       7.912558268940e+03 
       1.704368271028e-03       8.301629991290e+03 
       1.798121042481e-03       8.695167234376e+03 
       1.894227783334e-03       9.092498667146e+03 
       1.992509004642e-03       9.492411648375e+03 
       2.092791985941e-03       9.893857006920e+03 
       2.194912761666e-03       1.029580742488e+04 
       2.298717390148e-03       1.069767767359e+04 
       2.404062631546e-03       1.109855581461e+04 
       2.510816162350e-03       1.149772834211e+04 
       2.618856443812e-03       1.189434907813e+04 
       2.728072345370e-03       1.228799606341e+04 
       2.838362605816e-03       1.267816501736e+04 
       2.949635197099e-03       1.306442399332e+04 
       3.061806639786e-03       1.344635687881e+04 
       3.174801305809e-03       1.382383110394e+04 
       3.288550733331e-03       1.419638460169e+04 
       3.402992970223e-03       1.456378076126e+04 
       3.518071956278e-03       1.492580000956e+04 
       3.633736949707e-03       1.528237419409e+04 
       3.749942000157e-03       1.563323883772e+04 
       3.866645468218e-03       1.597846155145e+04 
       3.983809589926e-03       1.631782460370e+04 
       4.101400083833e-03       1.665122300947e+04 
       4.219385797670e-03       1.697865466217e+04 
       4.337738391434e-03       1.730008246588e+04 
       4.456432053652e-03       1.761549241467e+04 
       4.575443247666e-03       1.792483789789e+04 
       4.694750484936e-03       1.822811681401e+04 
       4.814334122569e-03       1.852529883925e+04 
       4.934176182505e-03       1.881646074902e+04 
       5.054260190007e-03       1.910177863490e+04 
       5.174571029353e-03       1.937958557927e+04 
       5.295094814817e-03       1.964377829572e+04 
       5.415818775249e-03       1.991346558748e+04 
       5.536731150734e-03       2.018244989712e+04 
       5.657821099990e-03       2.043675100827e+04 
       5.779078617299e-03       2.068024401762e+04 
       5.900494457925e-03       2.093183031042e+04 
       6.022060071075e-03       2.117046457574e+04 
       6.143767539572e-03       2.140010611352e+04 
       6.265609525518e-03       2.161707937618e+04 
       6.387579221279e-03       2.184085694495e+04 
       6.509670305234e-03       2.206951950056e+04 
       6.631876901776e-03       2.227032154017e+04 
       6.754193545109e-03       2.248363099985e+04 
       6.876615146446e-03       2.268314111873e+04 
       6.999136964259e-03       2.287257410594e+04 
       7.121754577256e-03       2.306524610432e+04 
       7.244463859820e-03       2.325686324914e+04 
       7.367260959647e-03       2.342286661918e+04 
       7.490142277373e-03       2.361331289796e+04 
       7.613104447994e-03       2.377794336460e+04 
       7.736144323896e-03       2.393693061797e+04 
       7.859258959343e-03       2.409891089057e+04 
       7.982445596283e-03       2.425173794148e+04 
       8.105701651351e-03       2.440702126068e+04 
       8.229024703947e-03       2.455428393669e+04 
       8.352412485297e-03       2.470142858781e+04 
       8.475862868408e-03       2.484213722730e+04 
       8.599373858825e-03       2.497223054065e+04 
       8.722943586133e-03       2.509261024045e+04 
       8.846570296123e-03       2.521632303229e+04 
       8.970252343579e-03       2.534919342967e+04 
       9.093988185611e-03       2.546297524680e+04 
       9.217776375513e-03       2.557432544510e+04 
       9.341615557082e-03       2.567884772770e+04 
       9.465504459360e-03       2.578841387573e+04 
       9.589441891780e-03       2.588406106585e+04 
       9.713426739660e-03       2.598583109861e+04 
       9.837457960037e-03       2.607367189927e+04 
       9.961534577803e-03       2.616401339645e+04 
       1.008565568211e-02       2.623988282441e+04 
       1.020982042307e-02       2.632978426548e+04 
       1.033402800862e-02       2.639787176936e+04 
       1.045827770169e-02       2.648163421589e+04 
       1.058256881754e-02       2.654925938768e+04 
       1.070690072122e-02       2.661047860421e+04 
       1.083127282535e-02       2.667999599938e+04 
       1.095568458791e-02       2.673757584261e+04 
       1.108013551028e-02       2.679214564464e+04 
       1.120462513535e-02       2.685219943830e+04 
       1.132915304582e-02       2.690177355778e+04 
       1.145371886258e-02       2.694748397985e+04 
       1.157832224321e-02       2.699116072531e+04 
       1.170296288059e-02       2.702896318154e+04 
       1.182764050159e-02       2.707039324264e+04 
       1.195235486588e-02       2.710079997116e+04 
       1.207710576479e-02       2.713198167726e+04 
       1.220189302028e-02       2.716315341460e+04 
       1.232671648398e-02       2.718858960403e+04 
       1.245157603624e-02       2.720959484160e+04 
       1.257647158537e-02       2.722434526273e+04 
       1.270140306678e-02       2.724666511593e+04 
       1.282637044234e-02       2.726341020240e+04 
       1.295137369967e-02       2.727207562509e+04 
       1.307641285154e-02       2.727759600249e+04 
       1.320148793531e-02       2.728789879328e+04 
       1.332659901241e-02       2.728613203903e+04 
       1.345174616784e-02       2.729340706123e+04 
       1.357692950979e-02       2.728615850678e+04 
       1.370214916919e-02       2.728897397826e+04 
       1.382740529937e-02       2.727713597772e+04 
       1.395269807574e-02       2.726764872739e+04 
       1.407802769548e-02       2.725912236587e+04 
       1.420339437729e-02       2.724852850168e+04 
       1.432879836119e-02       2.723262013239e+04 
       1.445423990824e-02       2.721566466300e+04 
       1.457971930045e-02       2.719279391907e+04 
       1.470523684058e-02       2.717245506924e+04 
       1.483079285204e-02       2.714539164135e+04 
       1.495638767876e-02       2.711849719115e+04 
       1.508202168518e-02       2.709351213266e+04 
       1.520769525612e-02       2.705989846433e+04 
       1.533340879682e-02       2.702427176892e+04 
       1.545916273287e-02       2.699100580941e+04 
       1.558495751027e-02       2.695679716987e+04 
       1.571079359544e-02       2.691767199433e+04 
       1.583667147527e-02       2.687981394401e+04 
       1.596259165720e-02       2.683312137649e+04 
       1.608855466931e-02       2.679279765226e+04 
       1.621456106041e-02       2.674268778968e+04 
       1.634061140019e-02       2.669994902520e+04 
       1.646670627934e-02       2.665065718491e+04 
       1.659284630975e-02       2.659524617151e+04 
       1.671903212462e-02       2.654433835026e+04 
       1.684526437874e-02       2.649359010871e+04 
       1.697154374861e-02       2.643548440247e+04 
       1.709787093276e-02       2.637958937455e+04 
       1.722424665193e-02       2.631951142091e+04 
       1.735067164933e-02       2.625752299938e+04 
       1.747714669099e-02       2.619457126725e+04 
       1.760367256596e-02       2.613274507448e+04 
       1.773025008668e-02       2.606898093088e+04 
       1.785688008929e-02       2.600346374442e+04 
       1.798356343398e-02       2.593751980943e+04 
       1.811030100535e-02       2.586540514940e+04 
       1.823709371275e-02       2.579634253145e+04 
       1.836394249076e-02       2.572756833620e+04 
       1.849084829949e-02       2.565501400222e+04 
       1.861781212511e-02       2.557734373088e+04 
       1.874483498024e-02       2.550392951662e+04 
       1.887191790440e-02       2.542974833115e+04 
       1.899906196455e-02       2.535184617231e+04 
       1.912626825553e-02       2.527033716358e+04 
       1.925353790061e-02       2.519124369386e+04 
       1.938087205204e-02       2.511161501113e+04 
       1.950827189154e-02       2.502980779273e+04 
       1.963573863097e-02       2.494959299037e+04 
       1.976327351284e-02       2.486583239058e+04 
       1.989087781097e-02       2.478187133991e+04 
       2.001855283113e-02       2.469548382679e+04 
       2.014629991166e-02       2.460907703714e+04 
       2.027412042421e-02       2.452061285125e+04 
       2.040201577437e-02       2.443213535970e+04 
       2.052998740245e-02       2.434116961967e+04 
       2.065803678420e-02       2.425372920090e+04 
       2.078616543161e-02       2.416209761052e+04 
       2.091437489365e-02       2.407128440909e+04 
       2.104266675717e-02       2.397937592766e+04 
       2.117104264768e-02       2.388660811774e+04 
       2.129950423027e-02       2.379214287867e+04 
       2.142805321047e-02       2.369942961960e+04 
       2.155669133522e-02       2.360355600649e+04 
       2.168542039383e-02       2.350654697602e+04 
       2.181424221895e-02       2.341197421712e+04 
       2.194315868757e-02       2.331536383138e+04 
       2.207217172214e-02       2.321647028954e+04 
       2.220128329160e-02       2.311766222431e+04 
       2.233049541251e-02       2.301844804132e+04 
       2.245981015025e-02       2.292159317587e+04 
       2.258922962014e-02       2.281958639532e+04 
       2.271875598872e-02       2.272185001386e+04 
       2.284839147503e-02       2.261934645650e+04 
       2.297813835186e-02       2.251962024141e+04 
       2.310799894717e-02       2.241667897601e+04 
       2.323797564544e-02       2.231405168426e+04 
       2.336807088912e-02       2.221205599501e+04 
       2.349828718011e-02       2.210879907698e+04 
