# Matter power spectrum P(k) at redshift z=0
# for k=9.36021e-06 to 1.4771 h/Mpc,
# number of wavenumbers equal to 602
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.360214775815e-06       6.182693088624e+01 
       2.165689702548e-05       1.391732333453e+02 
       3.399149725940e-05       2.152251491553e+02 
       4.639425014970e-05       2.907492595664e+02 
       5.889583440943e-05       3.661709169028e+02 
       7.152762217480e-05       4.418044928958e+02 
       8.432193553588e-05       5.179159802416e+02 
       9.731231335206e-05       5.955525098034e+02 
       1.105337915130e-04       6.734547953606e+02 
       1.240231998350e-04       7.525448861455e+02 
       1.378194788010e-04       8.330543286164e+02 
       1.519640193326e-04       9.152201745315e+02 
       1.665010287089e-04       9.992880426775e+02 
       1.814779255575e-04       1.085514619011e+03 
       1.969457665046e-04       1.174170285739e+03 
       2.129597065013e-04       1.266298294509e+03 
       2.295794939465e-04       1.363284750999e+03 
       2.468700003923e-04       1.461098741542e+03 
       2.649017826823e-04       1.562624123644e+03 
       2.837516726630e-04       1.672251815773e+03 
       3.035033858875e-04       1.781422619751e+03 
       3.242481357696e-04       1.900984120542e+03 
       3.460852331631e-04       2.023152264706e+03 
       3.691226431146e-04       2.150845713732e+03 
       3.934774604050e-04       2.286417960836e+03 
       4.192762534753e-04       2.428975295706e+03 
       4.466552127610e-04       2.583027240165e+03 
       4.757600251800e-04       2.743175764253e+03 
       5.067453830726e-04       2.913703573319e+03 
       5.397740257879e-04       3.093805100791e+03 
       5.750152089126e-04       3.284341798057e+03 
       6.126425044364e-04       3.488034597225e+03 
       6.528308600658e-04       3.703843610795e+03 
       6.957528921004e-04       3.932699234625e+03 
       7.415744562587e-04       4.174998906605e+03 
       7.904496327369e-04       4.431341692609e+03 
       8.425153672811e-04       4.702846393760e+03 
       8.978861133328e-04       4.989997511289e+03 
       9.566488992861e-04       5.291368488526e+03 
       1.018859275697e-03       5.607207631600e+03 
       1.084538561297e-03       5.937421830560e+03 
       1.153672698417e-03       6.281320108789e+03 
       1.226212860425e-03       6.638139298570e+03 
       1.302077755718e-03       7.006706636474e+03 
       1.381157383778e-03       7.386125490356e+03 
       1.463317855639e-03       7.775357142821e+03 
       1.477104874446e-03       7.840179356362e+03 
       1.548406817625e-03       8.172276240202e+03 
       1.636259018045e-03       8.577004679991e+03 
       1.726701619294e-03       8.987324324189e+03 
       1.819558958996e-03       9.401845954398e+03 
       1.914656578010e-03       9.819579209824e+03 
       2.011824439267e-03       1.023922912059e+04 
