# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_dcdm           16:gr.fac. D             17:gr.fac. f          
       9.133072029600e+11       9.062757688258e-22       5.075526132714e-07       1.799432296196e+18       1.414490190545e+04       1.548756197213e-08       1.291864079542e+16       2.930358428393e-07       1.914461350353e+36       1.880055995078e+27       8.476357056259e+24       3.510489637255e-08       1.323495226138e+36       3.237956588593e+36       1.021401025279e+28       1.259869605122e-06       1.102742781117e+01 
       9.069584935054e+11       9.190080371002e-22       5.111050995765e-07       1.774502313221e+18       1.414490190545e+04       1.559597490593e-08       1.282883892296e+16       2.950870937381e-07       1.861781544498e+36       1.841121174105e+27       8.300816835458e+24       3.510489637255e-08       1.287076903277e+36       3.148858459627e+36       1.000248428673e+28       1.356782651663e-06       1.023975439604e+01 
       9.006539160927e+11       9.319191810113e-22       5.146830517333e-07       1.749917719207e+18       1.414490190544e+04       1.570514673027e-08       1.273966129390e+16       2.971527033932e-07       1.810551317108e+36       1.802992669692e+27       8.128911946311e+24       3.510489637255e-08       1.251660695281e+36       3.062212023995e+36       9.795338895304e+27       1.453695698202e-06       9.557104102938e+00 
       8.943931639451e+11       9.450117135831e-22       5.182864697417e-07       1.725673729011e+18       1.414490190544e+04       1.581508275738e-08       1.265110356891e+16       2.992327723159e-07       1.760730780455e+36       1.765653783512e+27       7.960567103302e+24       3.510489637255e-08       1.217219027178e+36       2.977949818999e+36       9.592483359477e+27       1.550608744741e-06       8.959785096471e+00 
       8.881759324181e+11       9.582881831449e-22       5.219135346124e-07       1.701765623786e+18       1.414490190543e+04       1.592578833667e-08       1.256316143884e+16       3.013274017210e-07       1.712281144394e+36       1.729088163051e+27       7.795708580031e+24       3.510489637255e-08       1.183725082773e+36       2.896006238298e+36       9.393828838936e+27       1.647521791278e-06       8.432738914296e+00 
       8.820019189852e+11       9.717511738273e-22       5.255678843241e-07       1.678188750059e+18       1.414490190543e+04       1.603726885503e-08       1.247583062446e+16       3.034366935319e-07       1.665164686160e+36       1.693279794443e+27       7.634264176928e+24       3.510489637255e-08       1.151152783764e+36       2.816317480824e+36       9.199288333196e+27       1.744434837815e-06       7.964253419029e+00 
       8.758708232225e+11       9.854033060656e-22       5.292458808981e-07       1.654938518830e+18       1.414490190543e+04       1.614952973701e-08       1.238910687632e+16       3.055607503855e-07       1.619344720995e+36       1.658212995460e+27       7.476163189632e+24       3.510489637255e-08       1.119476769439e+36       2.738821501108e+36       9.008776643504e+27       1.841347884351e-06       7.545082186424e+00 
       8.697823467949e+11       9.992472371096e-22       5.329511623131e-07       1.632010404677e+18       1.414490190542e+04       1.626257644516e-08       1.230298597450e+16       3.076996756370e-07       1.574785573588e+36       1.623872408646e+27       7.321336378026e+24       3.510489637255e-08       1.088672376933e+36       2.663457960975e+36       8.822210335519e+27       1.938260930887e-06       7.167828077080e+00 
       8.637361934408e+11       1.013285661541e-21       5.366819095798e-07       1.609399944874e+18       1.414490190542e+04       1.637641448028e-08       1.221746372840e+16       3.098535733652e-07       1.531452550300e+36       1.590242994586e+27       7.169715935916e+24       3.510489637255e-08       1.058715622024e+36       2.590168182561e+36       8.639507702776e+27       2.035173977421e-06       6.826502930532e+00 
       8.577320689580e+11       1.027521311796e-21       5.404381226981e-07       1.587102738523e+18       1.414490190542e+04       1.649104938164e-08       1.213253597656e+16       3.120225483774e-07       1.489311912146e+36       1.557310025323e+27       7.021235461330e+24       3.510489637255e-08       1.029583180456e+36       2.518895102626e+36       8.460588730901e+27       2.132087023955e-06       6.516207342761e+00 
       8.517696811897e+11       1.041956958702e-21       5.442216206575e-07       1.565114445697e+18       1.414490190541e+04       1.660648672730e-08       1.204819858645e+16       3.142067062148e-07       1.448330848530e+36       1.525059077907e+27       6.875829927444e+24       3.510489637255e-08       1.001252369783e+36       2.449583228129e+36       8.285375062568e+27       2.229000070488e-06       6.232893980015e+00 
       8.458487400096e+11       1.056595412011e-21       5.480324034579e-07       1.543430786598e+18       1.414490190541e+04       1.672273213439e-08       1.196444745426e+16       3.164061531569e-07       1.408477451698e+36       1.493476028079e+27       6.733435654097e+24       3.510489637255e-08       9.737011317061e+35       2.382178593018e+36       8.113789963185e+27       2.325913117021e-06       5.973190064166e+00 
       8.399689573083e+11       1.071439520951e-21       5.518686521100e-07       1.522047540720e+18       1.414490190540e+04       1.683979125933e-08       1.188127850473e+16       3.186209962276e-07       1.369720691896e+36       1.462547044084e+27       6.593990279908e+24       3.510489637255e-08       9.469080149009e+35       2.316628716212e+36       7.945758287287e+27       2.422826163552e-06       5.734262461586e+00 
       8.341300469794e+11       1.086492174776e-21       5.557303666137e-07       1.500960546030e+18       1.414490190540e+04       1.695766979814e-08       1.179868769089e+16       3.208513431998e-07       1.332030393206e+36       1.432258580615e+27       6.457432734962e+24       3.510489637255e-08       9.208521583133e+35       2.252882560740e+36       7.781206445626e+27       2.519739210083e-06       5.513713905358e+00 
       8.283317249051e+11       1.101756303335e-21       5.596211849479e-07       1.480165698158e+18       1.414490190540e+04       1.707637348672e-08       1.171667099392e+16       3.230973026007e-07       1.295377210057e+36       1.402597372879e+27       6.323703214063e+24       3.510489637255e-08       8.955132749182e+35       2.190890494004e+36       7.620062372943e+27       2.616652256614e-06       5.309502279223e+00 
       8.225737089424e+11       1.117234877636e-21       5.635374691337e-07       1.459658949597e+18       1.414490190539e+04       1.719590810113e-08       1.163522442296e+16       3.253589837174e-07       1.259732604371e+36       1.373550430791e+27       6.192743150546e+24       3.510489637255e-08       8.708716359244e+35       2.130604249137e+36       7.462255496406e+27       2.713565303144e-06       5.119877197812e+00 
       8.168557189100e+11       1.132930910427e-21       5.674828571500e-07       1.439436308914e+18       1.414490190539e+04       1.731627945783e-08       1.155434401485e+16       3.276364966019e-07       1.225068823347e+36       1.345105033281e+27       6.064495190627e+24       3.510489637255e-08       8.469080554131e+35       2.071976887419e+36       7.307716704703e+27       2.810478349673e-06       4.943329708224e+00 
       8.111774765739e+11       1.148847456783e-21       5.714555300074e-07       1.419493839977e+18       1.414490190539e+04       1.743749341403e-08       1.147402583401e+16       3.299299520765e-07       1.191358877852e+36       1.317248722725e+27       5.938903168283e+24       3.510489637255e-08       8.236038754003e+35       2.014962761732e+36       7.156378317778e+27       2.907391396202e-06       4.778552051275e+00 
